Observer,Sample_spp,code,SiteLong,SiteShort,SiteCode,Sample_ID,Sampling_date,day,mo,yr,DOY,Season,SeasonCode,Yryly_Temp_old,Species,SppCode,Body_Length,Head_Width,density_per_m2,Body_Width,Height,Length of 1st Antennae,Adult?,has citellum?,b,a,log10(a),unit,equation,dry_mass_mg,Yryly_Temp
Lucie,W1_9_3_2018_PO,W1_2018_3_9,KiW1/W1/Bulau,W1,4,Grob,43346,9,3,2018,68,early,1,11.73744917,Prodiamesa olivacea,PO,9.68,0.68,39.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.684397344,10.825
Lucie,W1_12_7_2016_PO,W1_2016_7_12,KiW1/W1/Bulau,W1,4,Grob,42711,12,7,2016,194,late,2,11.94031883,Prodiamesa olivacea,PO,11.48,0.4,3.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.069400607,11.40833333
Lucie,W1_25_4_2016_PO,W1_2016_4_25,KiW1/W1/Bulau,W1,4,Grob,25/04/2016,25,4,2016,116,early,1,12.20102467,Prodiamesa olivacea,PO,9.34,0.38,0.8,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.623261471,11.50833333
Lucie,W1_10_6_2014_PO,W1_2014_6_10,KiW1/W1/Bulau,W1,4,Grob,41918,10,6,2014,161,late,2,12.42919707,Prodiamesa olivacea,PO,11.39,0.67,3.692308,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.047599038,11.70833333
Lucie,W1_10_6_2014_PO,W1_2014_6_10,KiW1/W1/Bulau,W1,4,Grob,41918,10,6,2014,161,late,2,12.42919707,Prodiamesa olivacea,PO,8.86,0.59,3.692308,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.542883391,11.70833333
Lucie,W1_10_3_2014_PO,W1_2014_3_10,KiW1/W1/Bulau,W1,4,Grob,41915,10,3,2014,69,early,1,11.30350443,Prodiamesa olivacea,PO,12.4,0.66,37.44,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.30844977,11.3
Lucie,W1_10_3_2014_PO,W1_2014_3_10,KiW1/W1/Bulau,W1,4,Grob,41915,10,3,2014,69,early,1,11.30350443,Prodiamesa olivacea,PO,11.58,0.49,37.44,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.093950837,11.3
Lucie,W1_10_3_2014_PO,W1_2014_3_10,KiW1/W1/Bulau,W1,4,Grob,41915,10,3,2014,69,early,1,11.30350443,Prodiamesa olivacea,PO,14.78,0.48,37.44,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),2.071621926,11.3
Lucie,W1_10_3_2014_PO,W1_2014_3_10,KiW1/W1/Bulau,W1,4,Grob,41915,10,3,2014,69,early,1,11.30350443,Prodiamesa olivacea,PO,12.19,0.46,37.44,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.251250323,11.3
Lucie,W1_10_3_2014_PO,W1_2014_3_10,KiW1/W1/Bulau,W1,4,Grob,41915,10,3,2014,69,early,1,11.30350443,Prodiamesa olivacea,PO,12.56,0.46,37.44,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.353095318,11.3
Lucie,W1_10_3_2014_PO,W1_2014_3_10,KiW1/W1/Bulau,W1,4,Grob,41915,10,3,2014,69,early,1,11.30350443,Prodiamesa olivacea,PO,11.44,0.43,37.44,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.059676763,11.3
Lucie,W1_10_3_2014_PO,W1_2014_3_10,KiW1/W1/Bulau,W1,4,Grob,41915,10,3,2014,69,early,1,11.30350443,Prodiamesa olivacea,PO,11.6,0.41,37.44,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.098902251,11.3
Lucie,W1_10_3_2014_PO,W1_2014_3_10,KiW1/W1/Bulau,W1,4,Grob,41915,10,3,2014,69,early,1,11.30350443,Prodiamesa olivacea,PO,13.26,0.41,37.44,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.559440854,11.3
Lucie,W1_10_3_2014_PO,W1_2014_3_10,KiW1/W1/Bulau,W1,4,Grob,41915,10,3,2014,69,early,1,11.30350443,Prodiamesa olivacea,PO,11.68,0.4,37.44,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.118846286,11.3
Lucie,W1_10_3_2014_PO,W1_2014_3_10,KiW1/W1/Bulau,W1,4,Grob,41915,10,3,2014,69,early,1,11.30350443,Prodiamesa olivacea,PO,12.75,0.29,37.44,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.407319349,11.3
Lucie,W1_27_6_2013_PO,W1_2013_6_27,KiW1/W1/Bulau,W1,4,Grob,27/06/2013,27,6,2013,178,late,2,10.70776835,Prodiamesa olivacea,PO,9.62,0.54,4.5,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.673351247,9.841666667
Lucie,W1_27_6_2013_PO,W1_2013_6_27,KiW1/W1/Bulau,W1,4,Grob,27/06/2013,27,6,2013,178,late,2,10.70776835,Prodiamesa olivacea,PO,11.21,0.5,4.5,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.004824911,9.841666667
Lucie,W1_27_6_2013_PO,W1_2013_6_27,KiW1/W1/Bulau,W1,4,Grob,27/06/2013,27,6,2013,178,late,2,10.70776835,Prodiamesa olivacea,PO,11.21,0.33,4.5,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.004824911,9.841666667
Lucie,W1_9_4_2013_PO,W1_2013_4_9,KiW1/W1/Bulau,W1,4,Grob,41521,9,4,2013,99,early,1,11.02415473,Prodiamesa olivacea,PO,13.08,0.89,4.8,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.504648204,10.11666667
Lucie,W1_9_4_2013_PO,W1_2013_4_9,KiW1/W1/Bulau,W1,4,Grob,41521,9,4,2013,99,early,1,11.02415473,Prodiamesa olivacea,PO,10.82,0.6,4.8,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.915894069,10.11666667
Lucie,W1_9_4_2013_PO,W1_2013_4_9,KiW1/W1/Bulau,W1,4,Grob,41521,9,4,2013,99,early,1,11.02415473,Prodiamesa olivacea,PO,11.66,0.56,4.8,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.113839491,10.11666667
Lucie,W1_9_4_2013_PO,W1_2013_4_9,KiW1/W1/Bulau,W1,4,Grob,41521,9,4,2013,99,early,1,11.02415473,Prodiamesa olivacea,PO,12.14,0.54,4.8,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.237863645,10.11666667
Lucie,W1_9_4_2013_PO,W1_2013_4_9,KiW1/W1/Bulau,W1,4,Grob,41521,9,4,2013,99,early,1,11.02415473,Prodiamesa olivacea,PO,12.53,0.47,4.8,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.344653721,10.11666667
Lucie,W1_9_4_2013_PO,W1_2013_4_9,KiW1/W1/Bulau,W1,4,Grob,41521,9,4,2013,99,early,1,11.02415473,Prodiamesa olivacea,PO,9.77,0.33,4.8,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.701175251,10.11666667
Lucie,W1_28_6_2012_PO,W1_2012_6_28,KiW1/W1/Bulau,W1,4,Grob,28/06/2012,28,6,2012,180,late,2,11.39026067,Prodiamesa olivacea,PO,15.79,0.95,11.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),2.462853274,10.65833333
Lucie,W1_28_6_2012_PO,W1_2012_6_28,KiW1/W1/Bulau,W1,4,Grob,28/06/2012,28,6,2012,180,late,2,11.39026067,Prodiamesa olivacea,PO,9.65,0.88,11.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.678860413,10.65833333
Lucie,W1_28_6_2012_PO,W1_2012_6_28,KiW1/W1/Bulau,W1,4,Grob,28/06/2012,28,6,2012,180,late,2,11.39026067,Prodiamesa olivacea,PO,9.91,0.7,11.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.727775211,10.65833333
Lucie,W1_28_6_2012_PO,W1_2012_6_28,KiW1/W1/Bulau,W1,4,Grob,28/06/2012,28,6,2012,180,late,2,11.39026067,Prodiamesa olivacea,PO,12.96,0.67,11.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.468790294,10.65833333
Lucie,W1_28_6_2012_PO,W1_2012_6_28,KiW1/W1/Bulau,W1,4,Grob,28/06/2012,28,6,2012,180,late,2,11.39026067,Prodiamesa olivacea,PO,15.47,0.64,11.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),2.334364425,10.65833333
Lucie,W1_28_6_2012_PO,W1_2012_6_28,KiW1/W1/Bulau,W1,4,Grob,28/06/2012,28,6,2012,180,late,2,11.39026067,Prodiamesa olivacea,PO,12.24,0.55,11.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.264726084,10.65833333
Lucie,W1_28_6_2012_PO,W1_2012_6_28,KiW1/W1/Bulau,W1,4,Grob,28/06/2012,28,6,2012,180,late,2,11.39026067,Prodiamesa olivacea,PO,10.17,0.54,11.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.778809856,10.65833333
Lucie,W1_28_6_2012_PO,W1_2012_6_28,KiW1/W1/Bulau,W1,4,Grob,28/06/2012,28,6,2012,180,late,2,11.39026067,Prodiamesa olivacea,PO,10.36,0.5,11.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.817464657,10.65833333
Lucie,W1_28_6_2012_PO,W1_2012_6_28,KiW1/W1/Bulau,W1,4,Grob,28/06/2012,28,6,2012,180,late,2,11.39026067,Prodiamesa olivacea,PO,10.47,0.49,11.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.840374704,10.65833333
Lucie,W1_28_6_2012_PO,W1_2012_6_28,KiW1/W1/Bulau,W1,4,Grob,28/06/2012,28,6,2012,180,late,2,11.39026067,Prodiamesa olivacea,PO,7.16,0.21,11.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.310870767,10.65833333
Lucie,W1_21_3_2012_PO,W1_2012_3_21,KiW1/W1/Bulau,W1,4,Grob,21/03/2012,21,3,2012,81,early,1,11.60336355,Prodiamesa olivacea,PO,14.07,0.87,13.6,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.821202166,11.09166667
Lucie,W1_21_3_2012_PO,W1_2012_3_21,KiW1/W1/Bulau,W1,4,Grob,21/03/2012,21,3,2012,81,early,1,11.60336355,Prodiamesa olivacea,PO,12.74,0.65,13.6,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.404432588,11.09166667
Lucie,W1_21_3_2012_PO,W1_2012_3_21,KiW1/W1/Bulau,W1,4,Grob,21/03/2012,21,3,2012,81,early,1,11.60336355,Prodiamesa olivacea,PO,9.02,0.61,13.6,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.568915824,11.09166667
Lucie,W1_21_3_2012_PO,W1_2012_3_21,KiW1/W1/Bulau,W1,4,Grob,21/03/2012,21,3,2012,81,early,1,11.60336355,Prodiamesa olivacea,PO,11.51,0.58,13.6,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.076729537,11.09166667
Lucie,W1_21_3_2012_PO,W1_2012_3_21,KiW1/W1/Bulau,W1,4,Grob,21/03/2012,21,3,2012,81,early,1,11.60336355,Prodiamesa olivacea,PO,13.8,0.58,13.6,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.731155477,11.09166667
Lucie,W1_21_3_2012_PO,W1_2012_3_21,KiW1/W1/Bulau,W1,4,Grob,21/03/2012,21,3,2012,81,early,1,11.60336355,Prodiamesa olivacea,PO,13.85,0.52,13.6,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.747618213,11.09166667
Lucie,W1_21_3_2012_PO,W1_2012_3_21,KiW1/W1/Bulau,W1,4,Grob,21/03/2012,21,3,2012,81,early,1,11.60336355,Prodiamesa olivacea,PO,12.46,0.52,13.6,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.325083426,11.09166667
Lucie,W1_21_3_2012_PO,W1_2012_3_21,KiW1/W1/Bulau,W1,4,Grob,21/03/2012,21,3,2012,81,early,1,11.60336355,Prodiamesa olivacea,PO,10.14,0.45,13.6,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.772811958,11.09166667
Lucie,W1_21_3_2012_PO,W1_2012_3_21,KiW1/W1/Bulau,W1,4,Grob,21/03/2012,21,3,2012,81,early,1,11.60336355,Prodiamesa olivacea,PO,8.3,0.34,13.6,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.457614601,11.09166667
Lucie,W1_21_3_2012_PO,W1_2012_3_21,KiW1/W1/Bulau,W1,4,Grob,21/03/2012,21,3,2012,81,early,1,11.60336355,Prodiamesa olivacea,PO,10.55,0.33,13.6,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.857282961,11.09166667
Lucie,W1_26_4_2010_PO,W1_2010_4_26,KiW1/W1/Bulau,W1,4,Grob,26/04/2010,26,4,2010,116,early,1,NA,Prodiamesa olivacea,PO,6.94,0.37,22.73684,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.286490509,10.425
Lucie,W1_12_4_2007_PO,W1_2007_4_12,KiW1/W1/Bulau,W1,4,Grob,39420,12,4,2007,102,early,1,NA,Prodiamesa olivacea,PO,7.3,0.21,1.6,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.327030629,12.66666667
Lucie,W1_13_7_2006_PO,W1_2006_7_13,KiW1/W1/Bulau,W1,4,Grob,13/07/2006,13,7,2006,194,late,2,NA,Prodiamesa olivacea,PO,7.59,0.43,NA,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.362130607,10.4
Lucie,W1_13_7_2006_PO,W1_2006_7_13,KiW1/W1/Bulau,W1,4,Grob,13/07/2006,13,7,2006,194,late,2,NA,Prodiamesa olivacea,PO,7.24,0.36,NA,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.320043,10.4
Lucie,W1_22_3_2005_PO,W1_2005_3_22,KiW1/W1/Bulau,W1,4,Grob,22/03/2005,22,3,2005,81,early,1,NA,Prodiamesa olivacea,PO,6.68,NA,4,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.259246265,10.25
Lucie,W1_22_3_2005_PO,W1_2005_3_22,KiW1/W1/Bulau,W1,4,Grob,22/03/2005,22,3,2005,81,early,1,NA,Prodiamesa olivacea,PO,5.57,NA,4,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.161129682,10.25
Lucie,W1_22_3_2005_PO,W1_2005_3_22,KiW1/W1/Bulau,W1,4,Grob,22/03/2005,22,3,2005,81,early,1,NA,Prodiamesa olivacea,PO,12.28,0.64,4,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.275570982,10.25
Lucie,W1_22_3_2005_PO,W1_2005_3_22,KiW1/W1/Bulau,W1,4,Grob,22/03/2005,22,3,2005,81,early,1,NA,Prodiamesa olivacea,PO,12.48,0.58,4,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.330656853,10.25
Lucie,W1_22_3_2005_PO,W1_2005_3_22,KiW1/W1/Bulau,W1,4,Fein,22/03/2005,22,3,2005,81,early,1,NA,Prodiamesa olivacea,PO,8.23,0.53,4,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.4475833,10.25
Lucie,W1_22_3_2005_PO,W1_2005_3_22,KiW1/W1/Bulau,W1,4,Grob,22/03/2005,22,3,2005,81,early,1,NA,Prodiamesa olivacea,PO,9.48,0.51,4,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.648007338,10.25
Lucie,W1_22_3_2005_PO,W1_2005_3_22,KiW1/W1/Bulau,W1,4,Fein,22/03/2005,22,3,2005,81,early,1,NA,Prodiamesa olivacea,PO,4.73,0.5,4,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.10504711,10.25
Lucie,W1_22_3_2005_PO,W1_2005_3_22,KiW1/W1/Bulau,W1,4,Fein,22/03/2005,22,3,2005,81,early,1,NA,Prodiamesa olivacea,PO,9.42,0.49,4,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.637329055,10.25
Lucie,W1_22_3_2005_PO,W1_2005_3_22,KiW1/W1/Bulau,W1,4,Grob,22/03/2005,22,3,2005,81,early,1,NA,Prodiamesa olivacea,PO,6.84,0.33,4,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.27581274,10.25
Lucie,W1_22_3_2005_PO,W1_2005_3_22,KiW1/W1/Bulau,W1,4,Grob,22/03/2005,22,3,2005,81,early,1,NA,Prodiamesa olivacea,PO,5.85,0.22,4,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.183197443,10.25
Ellen,O3_18_6_2019_PO,O3_2019_6_18,KiO3/O3/Rodenbauch,O3,3,Grob,18/06/2019,18,6,2019,169,late,2,NA,Prodiamesa olivacea,PO,10.89,0.7,24.8,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.931481999,11.95
Ellen,O3_18_6_2019_PO,O3_2019_6_18,KiO3/O3/Rodenbauch,O3,3,Grob,18/06/2019,18,6,2019,169,late,2,NA,Prodiamesa olivacea,PO,11.58,0.69,24.8,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.093950837,11.95
Ellen,O3_18_6_2019_PO,O3_2019_6_18,KiO3/O3/Rodenbauch,O3,3,Grob,18/06/2019,18,6,2019,169,late,2,NA,Prodiamesa olivacea,PO,11.25,0.62,24.8,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.014235147,11.95
Ellen,O3_18_6_2019_PO,O3_2019_6_18,KiO3/O3/Rodenbauch,O3,3,Grob,18/06/2019,18,6,2019,169,late,2,NA,Prodiamesa olivacea,PO,10.47,0.55,24.8,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.840374704,11.95
Lucie,O3_2_6_2017_PO,O3_2017_6_2,KiO3/O3/Rodenbauch,O3,3,Grob,42772,2,6,2017,153,late,2,10.87553422,Prodiamesa olivacea,PO,10.56,0.58,0.761905,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.85941114,11.16666667
Lucie,O3_28_3_2017_PO,O3_2017_3_28,KiO3/O3/Rodenbauch,O3,3,Grob,28/03/2017,28,3,2017,87,early,1,10.64070401,Prodiamesa olivacea,PO,12.45,0.67,6.857143,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.322302131,10.96666667
Lucie,O3_28_3_2017_PO,O3_2017_3_28,KiO3/O3/Rodenbauch,O3,3,Grob,28/03/2017,28,3,2017,87,early,1,10.64070401,Prodiamesa olivacea,PO,11.46,0.65,6.857143,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.064531825,10.96666667
Lucie,O3_28_3_2017_PO,O3_2017_3_28,KiO3/O3/Rodenbauch,O3,3,Grob,28/03/2017,28,3,2017,87,early,1,10.64070401,Prodiamesa olivacea,PO,13.29,0.6,6.857143,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.568690911,10.96666667
Lucie,O3_28_3_2017_PO,O3_2017_3_28,KiO3/O3/Rodenbauch,O3,3,Grob,28/03/2017,28,3,2017,87,early,1,10.64070401,Prodiamesa olivacea,PO,12.99,0.58,6.857143,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.477704696,10.96666667
Lucie,O3_28_3_2017_PO,O3_2017_3_28,KiO3/O3/Rodenbauch,O3,3,Grob,28/03/2017,28,3,2017,87,early,1,10.64070401,Prodiamesa olivacea,PO,12.03,0.55,6.857143,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.20872541,10.96666667
Lucie,O3_28_3_2017_PO,O3_2017_3_28,KiO3/O3/Rodenbauch,O3,3,Grob,28/03/2017,28,3,2017,87,early,1,10.64070401,Prodiamesa olivacea,PO,13.84,0.51,6.857143,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.744317962,10.96666667
Lucie,O3_28_3_2017_PO,O3_2017_3_28,KiO3/O3/Rodenbauch,O3,3,Grob,28/03/2017,28,3,2017,87,early,1,10.64070401,Prodiamesa olivacea,PO,10.86,0.47,6.857143,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.924781552,10.96666667
Lucie,O3_28_3_2017_PO,O3_2017_3_28,KiO3/O3/Rodenbauch,O3,3,Grob,28/03/2017,28,3,2017,87,early,1,10.64070401,Prodiamesa olivacea,PO,11.46,0.46,6.857143,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.064531825,10.96666667
Lucie,O3_28_3_2017_PO,O3_2017_3_28,KiO3/O3/Rodenbauch,O3,3,Grob,28/03/2017,28,3,2017,87,early,1,10.64070401,Prodiamesa olivacea,PO,13.2,0.4,6.857143,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.541042028,10.96666667
Lucie,O3_28_3_2017_PO,O3_2017_3_28,KiO3/O3/Rodenbauch,O3,3,Grob,28/03/2017,28,3,2017,87,early,1,10.64070401,Prodiamesa olivacea,PO,11.1,0.36,6.857143,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.979225559,10.96666667
Lucie,O3_1_7_2015_PO,O3_2015_7_1,KiO3/O3/Rodenbauch,O3,3,Grob,42011,1,7,2015,182,late,2,11.43368182,Prodiamesa olivacea,PO,9.59,0.55,39.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.667869791,10.98333333
Lucie,O3_1_7_2015_PO,O3_2015_7_1,KiO3/O3/Rodenbauch,O3,3,Grob,42011,1,7,2015,182,late,2,11.43368182,Prodiamesa olivacea,PO,11.32,0.5,39.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.030833691,10.98333333
Lucie,O3_1_7_2015_PO,O3_2015_7_1,KiO3/O3/Rodenbauch,O3,3,Grob,42011,1,7,2015,182,late,2,11.43368182,Prodiamesa olivacea,PO,11.36,0.48,39.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.040393424,10.98333333
Lucie,O3_1_7_2015_PO,O3_2015_7_1,KiO3/O3/Rodenbauch,O3,3,Grob,42011,1,7,2015,182,late,2,11.43368182,Prodiamesa olivacea,PO,12.1,0.41,39.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.22721829,10.98333333
Lucie,O3_1_7_2015_PO,O3_2015_7_1,KiO3/O3/Rodenbauch,O3,3,Grob,42011,1,7,2015,182,late,2,11.43368182,Prodiamesa olivacea,PO,12.17,0.31,39.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.245884975,10.98333333
Lucie,O3_1_7_2015_PO,O3_2015_7_1,KiO3/O3/Rodenbauch,O3,3,Grob,42011,1,7,2015,182,late,2,11.43368182,Prodiamesa olivacea,PO,12.36,0.25,39.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.297432711,10.98333333
Lucie,O3_12_6_2014_PO,O3_2014_6_12,KiO3/O3/Rodenbauch,O3,3,Grob,41979,12,6,2014,168,late,2,10.81162656,Prodiamesa olivacea,PO,9.68,0.67,4.8,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.684397344,11.625
