Sample_spp,code,SiteLong,SiteShort,SiteCode,Sample_ID,day,mo,yr,DOY,Season,SeasonCode,Species,SppCode,density_per_m2,Yryly_Temp_old,Yryly_Temp
O3_12_4_2007_AF,O3_2007_4_12,KiO3/O3/Rothenbergen,O3,3,grob,12,4,2007,102,early,1,Ancylus fluviatilis,AF,54.72,NA,12.53333333
O3_12_4_2007_AA,O3_2007_4_12,KiO3/O3/Rothenbergen,O3,3,Grob,12,4,2007,102,early,1,Aphelocheirus aestivalis,AA,17.28,NA,12.53333333
O3_12_4_2007_BR,O3_2007_4_12,KiO3/O3/Rothenbergen,O3,3,grob,12,4,2007,102,early,1,Baetis rhodani,BR,7.36,NA,12.53333333
O3_12_4_2007_BR,O3_2007_4_12,KiO3/O3/Rothenbergen,O3,3,Einzelexemplar,12,4,2007,102,early,1,Baetis rhodani,BR,7.36,NA,12.53333333
O3_12_4_2007_ET,O3_2007_4_12,KiO3/O3/Rothenbergen,O3,3,grob,12,4,2007,102,early,1,Eiseniella tetraedra,ET,0.8,NA,12.53333333
O3_12_4_2007_ED,O3_2007_4_12,KiO3/O3/Rodenbauch,O3,3,Einzelexemplare,12,4,2007,102,early,1,Ephemera danica,ED,6.56,NA,12.53333333
O3_12_4_2007_ED,O3_2007_4_12,KiO3/O3/Rodenbauch,O3,3,Grob,12,4,2007,102,early,1,Ephemera danica,ED,6.56,NA,12.53333333
O3_12_4_2007_GR,O3_2007_4_12,KiO3/O3/Rothenbergen,O3,3,grob,12,4,2007,102,early,1,Gammarus roeselii,GR,126.72,NA,12.53333333
O3_12_4_2007_PO,O3_2007_4_12,KiO3/O3/Rodenbauch,O3,3,Grob,12,4,2007,102,early,1,Prodiamesa olivacea,PO,NA,NA,12.53333333
W1_12_4_2007_AF,W1_2007_4_12,KiW1/W1/Bulau,W1,4,grob,12,4,2007,102,early,1,Ancylus fluviatilis,AF,1.6,NA,12.66666667
W1_12_4_2007_AA,W1_2007_4_12,KiW1/W1/Bulau,W1,4,Grob,12,4,2007,102,early,1,Aphelocheirus aestivalis,AA,11.2,NA,12.66666667
W1_12_4_2007_BR,W1_2007_4_12,KiW1/W1/Bulau,W1,4,grob,12,4,2007,102,early,1,Baetis rhodani,BR,2.4,NA,12.66666667
W1_12_4_2007_BR,W1_2007_4_12,KiW1/W1/Bulau,W1,4,Einzelexemplar,12,4,2007,102,early,1,Baetis rhodani,BR,2.4,NA,12.66666667
W1_12_4_2007_ED,W1_2007_4_12,KiW1/W1/Bulau,W1,4,Grob,12,4,2007,102,early,1,Ephemera danica,ED,28.8,NA,12.66666667
W1_12_4_2007_HS,W1_2007_4_12,KiW1/W1/Bulau,W1,4,Grob,12,4,2007,102,early,1,Hydropsyche siltalai,HS,8,NA,12.66666667
W1_12_4_2007_PO,W1_2007_4_12,KiW1/W1/Bulau,W1,4,Grob,12,4,2007,102,early,1,Prodiamesa olivacea,PO,1.6,NA,12.66666667
Auba_23_4_2008_AF,Auba_2008_4_23,Aubach oh Wiesenthal,Auba,1,grob,23,4,2008,114,early,1,Ancylus fluviatilis,AF,0.914286,NA,9.475
Auba_23_4_2008_BR,Auba_2008_4_23,Aubach oh.Wiesthal,Auba,1,grob,23,4,2008,114,early,1,Baetis rhodani,BR,75.73333,NA,9.475
Auba_23_6_2008_BR,Auba_2008_6_23,Aubach oh.Wiesthal,Auba,1,grob,23,6,2008,175,late,2,Baetis rhodani,BR,25.31868,NA,9.55
Auba_23_4_2008_ED,Auba_2008_4_23,Aubach,Auba,1,Einzelexemplare,23,4,2008,114,early,1,Ephemera danica,ED,19.80952,NA,9.475
Auba_23_4_2008_ED,Auba_2008_4_23,Aubach,Auba,1,Grob,23,4,2008,114,early,1,Ephemera danica,ED,19.80952,NA,9.475
Auba_23_6_2008_ED,Auba_2008_6_23,Aubach,Auba,1,Grob,23,6,2008,175,late,2,Ephemera danica,ED,16.87912,NA,9.55
Auba_23_6_2008_GR,Auba_2008_6_23,Aubach,Auba,1,21TP,23,6,2008,175,late,2,Gammarus roeselii,GR,0.761905,NA,9.55
Auba_23_4_2008_HS,Auba_2008_4_23,Aubach,Auba,1,Grob,23,4,2008,114,early,1,Hydropsyche siltalai,HS,6.247619,NA,9.475
Auba_23_6_2008_HS,Auba_2008_6_23,Aubach,Auba,1,Grob,23,6,2008,175,late,2,Hydropsyche siltalai,HS,2.871795,NA,9.55
Auba_23_6_2008_PO,Auba_2008_6_23,Aubach,Auba,1,Grob,23,6,2008,175,late,2,Prodiamesa olivacea,PO,55.61905,NA,9.55
Bieb_23_6_2008_BR,Bieb_2008_6_23,Bieber,Bieb,2,Einzelexemplar,23,6,2008,175,late,2,Baetis rhodani,BR,3.047619,NA,9.741666667
Bieb_24_4_2008_BR,Bieb_2008_4_24,Bieber,Bieb,2,grob,24,4,2008,115,early,1,Baetis rhodani,BR,79.80952,NA,9.666666667
Bieb_24_4_2008_ET,Bieb_2008_4_24,Bieber,Bieb,2,grob,24,4,2008,115,early,1,Eiseniella tetraedra,ET,1.714286,NA,9.666666667
Bieb_23_6_2008_HS,Bieb_2008_6_23,Bieber,Bieb,2,Grob,23,6,2008,175,late,2,Hydropsyche siltalai,HS,6.857143,NA,9.741666667
Bieb_24_4_2008_HS,Bieb_2008_4_24,Bieber,Bieb,2,Grob,24,4,2008,115,early,1,Hydropsyche siltalai,HS,27.04762,NA,9.666666667
Bieb_24_4_2008_OV,Bieb_2008_4_24,Bieber,Bieb,2,grob,24,4,2008,115,early,1,Orectochilus villosus,OV,3.428571,NA,9.666666667
Bieb_23_6_2008_PO,Bieb_2008_6_23,Bieber,Bieb,2,Grob,23,6,2008,175,late,2,Prodiamesa olivacea,PO,283.4286,NA,9.741666667
Bieb_24_4_2008_PO,Bieb_2008_4_24,Bieber,Bieb,2,Grob,24,4,2008,115,early,1,Prodiamesa olivacea,PO,34.28571,NA,9.666666667
O3_11_6_2008_AF,O3_2008_6_11,KiO3/O3/Rothenbergen,O3,3,grob,11,6,2008,163,late,2,Ancylus fluviatilis,AF,4.571429,NA,10.43333333
O3_28_4_2008_AF,O3_2008_4_28,KiO3/O3/Rothenbergen,O3,3,grob,28,4,2008,119,early,1,Ancylus fluviatilis,AF,8.661654,NA,10.35833333
O3_11_6_2008_AA,O3_2008_6_11,KiO3/O3/Rothenbergen,O3,3,Grob,11,6,2008,163,late,2,Aphelocheirus aestivalis,AA,24.38095,NA,10.43333333
O3_11_6_2008_AA,O3_2008_6_11,KiO3/O3/Rothenbergen,O3,3,Grob_21TP,11,6,2008,163,late,2,Aphelocheirus aestivalis,AA,24.38095,NA,10.43333333
O3_28_4_2008_AA,O3_2008_4_28,KiO3/O3/Rothenbergen,O3,3,Grob,28,4,2008,119,early,1,Aphelocheirus aestivalis,AA,20.21053,NA,10.35833333
O3_11_6_2008_BR,O3_2008_6_11,KiO3/O3/Rothenbergen,O3,3,grob,11,6,2008,163,late,2,Baetis rhodani,BR,48,NA,10.43333333
O3_28_4_2008_BR,O3_2008_4_28,KiO3/O3/Rothenbergen,O3,3,grob,28,4,2008,119,early,1,Baetis rhodani,BR,16.6416,NA,10.35833333
O3_28_4_2008_ET,O3_2008_4_28,KiO3/O3/Rothenbergen,O3,3,grob,28,4,2008,119,early,1,Eiseniella tetraedra,ET,17.32331,NA,10.35833333
O3_28_4_2008_GR,O3_2008_4_28,KiO3/O3/Rothenbergen,O3,3,grob,28,4,2008,119,early,1,Gammarus roeselii,GR,70.21554,NA,10.35833333
O3_11_6_2008_HS,O3_2008_6_11,KiO3/O3/Rodenbauch,O3,3,Grob 21 TP,11,6,2008,163,late,2,Hydropsyche siltalai,HS,6.857143,NA,10.43333333
