sample,site,yr,mo,day,DOY,taxa,ID_Art,Abundance_per_m2,spp_mm,Yryly_Temp
Bieb_2012_6_21,Bieb,2012,6,21,173,Baetis rhodani,4415,2.109091,0.9375,9.939641775
Bieb_2013_3_19,Bieb,2013,3,19,78,Baetis rhodani,4415,56,0.9375,NA
Bieb_2014_3_11,Bieb,2014,3,11,70,Baetis rhodani,4415,21.8,0.9375,NA
Bieb_2015_3_25,Bieb,2015,3,25,84,Baetis rhodani,4415,132.2286,0.9375,NA
Bieb_2016_4_11,Bieb,2016,4,11,102,Baetis rhodani,4415,39.31429,0.9375,10.6375945
Bieb_2016_6_21,Bieb,2016,6,21,173,Baetis rhodani,4415,5.3,0.9375,10.48123791
Bieb_2017_3_16,Bieb,2017,3,16,75,Baetis rhodani,4415,159.2,0.9375,9.507832251
Bieb_2017_6_12,Bieb,2017,6,12,163,Baetis rhodani,4415,20.57143,0.9375,9.597170391
Bieb_2018_3_7,Bieb,2018,3,7,66,Baetis rhodani,4415,134.4,0.9375,10.46529746
Bieb_2018_6_15,Bieb,2018,6,15,166,Baetis rhodani,4415,58.66667,0.9375,10.61800637
Bieb_2019_4_2,Bieb,2019,4,2,92,Baetis rhodani,4415,22.4,0.9375,10.57369595
Bieb_2019_7_5,Bieb,2019,7,5,186,Baetis rhodani,4415,11.2,0.9375,10.3264125
O3_2002_7_2,KiO3,2002,7,2,183,Baetis rhodani,4415,24,0.9375,NA
O3_2005_3_22,KiO3,2005,3,22,81,Baetis rhodani,4415,5.6,0.9375,NA
O3_2006_6_21,KiO3,2006,6,21,172,Baetis rhodani,4415,5.6,0.9375,NA
O3_2007_4_12,KiO3,2007,4,12,102,Baetis rhodani,4415,7.36,0.9375,NA
O3_2007_7_20,KiO3,2007,7,20,201,Baetis rhodani,4415,2.215385,0.9375,NA
O3_2008_4_28,KiO3,2008,4,28,119,Baetis rhodani,4415,16.6416,0.9375,NA
O3_2008_6_11,KiO3,2008,6,11,163,Baetis rhodani,4415,48,0.9375,NA
O3_2009_4_9,KiO3,2009,4,9,99,Baetis rhodani,4415,9.142857,0.9375,NA
O3_2009_6_23,KiO3,2009,6,23,174,Baetis rhodani,4415,20,0.9375,NA
O3_2010_4_26,KiO3,2010,4,26,116,Baetis rhodani,4415,6,0.9375,NA
O3_2010_6_28,KiO3,2010,6,28,179,Baetis rhodani,4415,3.6,0.9375,NA
O3_2011_4_20,KiO3,2011,4,20,110,Baetis rhodani,4415,8,0.9375,NA
O3_2011_7_21,KiO3,2011,7,21,202,Baetis rhodani,4415,1.6,0.9375,NA
O3_2012_3_21,KiO3,2012,3,21,81,Baetis rhodani,4415,30.4,0.9375,NA
O3_2013_4_25,KiO3,2013,4,25,115,Baetis rhodani,4415,1.6,0.9375,10.88388592
O3_2013_7_1,KiO3,2013,7,1,182,Baetis rhodani,4415,7.2,0.9375,10.45683623
O3_2014_3_10,KiO3,2014,3,10,69,Baetis rhodani,4415,20.57143,0.9375,11.02946866
O3_2014_6_12,KiO3,2014,6,12,163,Baetis rhodani,4415,10.4,0.9375,10.81162656
O3_2015_3_17,KiO3,2015,3,17,76,Baetis rhodani,4415,7.435294,0.9375,10.40082664
O3_2017_3_28,KiO3,2017,3,28,87,Baetis rhodani,4415,18.28571,0.9375,10.64070401
O3_2017_6_2,KiO3,2017,6,2,153,Baetis rhodani,4415,33.14286,0.9375,10.87553422
O3_2018_3_9,KiO3,2018,3,9,68,Baetis rhodani,4415,17.14286,0.9375,11.63718211
O3_2018_6_7,KiO3,2018,6,7,158,Baetis rhodani,4415,57.90476,0.9375,11.63243278
O3_2019_4_1,KiO3,2019,4,1,91,Baetis rhodani,4415,11.87692,0.9375,12.06920692
O3_2019_6_18,KiO3,2019,6,18,169,Baetis rhodani,4415,9.6,0.9375,NA
W1_2005_3_22,KiW1,2005,3,22,81,Baetis rhodani,4415,2.4,0.9375,NA
W1_2007_4_12,KiW1,2007,4,12,102,Baetis rhodani,4415,2.4,0.9375,NA
W1_2008_6_11,KiW1,2008,6,11,163,Baetis rhodani,4415,2.742857,0.9375,NA
W1_2009_5_7,KiW1,2009,5,7,127,Baetis rhodani,4415,3.2,0.9375,NA
W1_2010_4_26,KiW1,2010,4,26,116,Baetis rhodani,4415,4.547368,0.9375,NA
W1_2011_4_20,KiW1,2011,4,20,110,Baetis rhodani,4415,0.96,0.9375,NA
W1_2012_3_21,KiW1,2012,3,21,81,Baetis rhodani,4415,2.4,0.9375,11.60336355
W1_2013_4_9,KiW1,2013,4,9,99,Baetis rhodani,4415,0.8,0.9375,11.02415473
W1_2014_6_10,KiW1,2014,6,10,161,Baetis rhodani,4415,0.8,0.9375,12.42919707
W1_2015_3_17,KiW1,2015,3,17,76,Baetis rhodani,4415,5.6,0.9375,12.51601374
W1_2016_4_25,KiW1,2016,4,25,116,Baetis rhodani,4415,2.4,0.9375,12.20102467
W1_2017_3_28,KiW1,2017,3,28,87,Baetis rhodani,4415,24,0.9375,11.21748961
W1_2017_6_7,KiW1,2017,6,7,158,Baetis rhodani,4415,2.4,0.9375,11.34774636
W1_2018_3_9,KiW1,2018,3,9,68,Baetis rhodani,4415,1.6,0.9375,11.73744917
W1_2018_6_5,KiW1,2018,6,5,156,Baetis rhodani,4415,9.6,0.9375,11.8018492
W1_2019_4_1,KiW1,2019,4,1,91,Baetis rhodani,4415,7.858824,0.9375,12.34428617
Auba_2004_7_10,Auba,2004,7,10,192,Eiseniella tetraedra,5075,0.8,6,NA
Auba_2006_6_15,Auba,2006,6,15,166,Eiseniella tetraedra,5075,2.88,6,NA
Auba_2007_3_11,Auba,2007,3,11,70,Eiseniella tetraedra,5075,15.2,6,NA
Auba_2007_7_12,Auba,2007,7,12,193,Eiseniella tetraedra,5075,3.6,6,NA
Auba_2008_6_23,Auba,2008,6,23,175,Eiseniella tetraedra,5075,2.10989,6,NA
Auba_2009_4_8,Auba,2009,4,8,98,Eiseniella tetraedra,5075,0.761905,6,NA
Auba_2012_3_19,Auba,2012,3,19,79,Eiseniella tetraedra,5075,1.515789,6,NA
Auba_2013_3_20,Auba,2013,3,20,79,Eiseniella tetraedra,5075,1,6,9.511455665
Auba_2015_3_10,Auba,2015,3,10,69,Eiseniella tetraedra,5075,1.92,6,9.396444518
Auba_2017_3_16,Auba,2017,3,16,75,Eiseniella tetraedra,5075,4.536797,6,8.800749868
Auba_2019_4_2,Auba,2019,4,2,92,Eiseniella tetraedra,5075,0.761905,6,10.33313505
Bieb_2003_7_14,Bieb,2003,7,14,195,Eiseniella tetraedra,5075,4.8,6,NA
Bieb_2008_4_24,Bieb,2008,4,24,115,Eiseniella tetraedra,5075,1.714286,6,NA
Bieb_2009_6_23,Bieb,2009,6,23,174,Eiseniella tetraedra,5075,1.309091,6,NA
Bieb_2010_3_16,Bieb,2010,3,16,75,Eiseniella tetraedra,5075,0.761905,6,NA
Bieb_2011_7_25,Bieb,2011,7,25,206,Eiseniella tetraedra,5075,1.515789,6,NA
Bieb_2012_6_21,Bieb,2012,6,21,173,Eiseniella tetraedra,5075,1.309091,6,9.939641775
Bieb_2013_3_19,Bieb,2013,3,19,78,Eiseniella tetraedra,5075,3.2,6,NA
Bieb_2014_6_17,Bieb,2014,6,17,168,Eiseniella tetraedra,5075,3,6,NA
Bieb_2015_3_25,Bieb,2015,3,25,84,Eiseniella tetraedra,5075,0.8,6,NA
Bieb_2015_6_16,Bieb,2015,6,16,167,Eiseniella tetraedra,5075,7.2,6,10.40237364
Bieb_2016_4_11,Bieb,2016,4,11,102,Eiseniella tetraedra,5075,14.51429,6,10.6375945
Bieb_2016_6_21,Bieb,2016,6,21,173,Eiseniella tetraedra,5075,3,6,10.48123791
Bieb_2017_3_16,Bieb,2017,3,16,75,Eiseniella tetraedra,5075,29.6,6,9.507832251
Bieb_2017_6_12,Bieb,2017,6,12,163,Eiseniella tetraedra,5075,9.028571,6,9.597170391
Bieb_2018_6_15,Bieb,2018,6,15,166,Eiseniella tetraedra,5075,6.133333,6,10.61800637
Bieb_2019_4_2,Bieb,2019,4,2,92,Eiseniella tetraedra,5075,7.2,6,10.57369595
Bieb_2019_7_5,Bieb,2019,7,5,186,Eiseniella tetraedra,5075,4.8,6,10.3264125
O3_2005_3_22,KiO3,2005,3,22,81,Eiseniella tetraedra,5075,2.4,6,NA
O3_2007_4_12,KiO3,2007,4,12,102,Eiseniella tetraedra,5075,0.8,6,NA
O3_2008_4_28,KiO3,2008,4,28,119,Eiseniella tetraedra,5075,17.32331,6,NA
O3_2009_4_9,KiO3,2009,4,9,99,Eiseniella tetraedra,5075,0.761905,6,NA
O3_2010_4_26,KiO3,2010,4,26,116,Eiseniella tetraedra,5075,9.6,6,NA
O3_2011_4_20,KiO3,2011,4,20,110,Eiseniella tetraedra,5075,0.8,6,NA
O3_2011_7_21,KiO3,2011,7,21,202,Eiseniella tetraedra,5075,3.2,6,NA
O3_2013_4_25,KiO3,2013,4,25,115,Eiseniella tetraedra,5075,0.8,6,10.88388592
O3_2013_7_1,KiO3,2013,7,1,182,Eiseniella tetraedra,5075,2.4,6,10.45683623
O3_2014_3_10,KiO3,2014,3,10,69,Eiseniella tetraedra,5075,2.285714,6,11.02946866
O3_2017_3_28,KiO3,2017,3,28,87,Eiseniella tetraedra,5075,3.085714,6,10.64070401
O3_2017_6_2,KiO3,2017,6,2,153,Eiseniella tetraedra,5075,0.761905,6,10.87553422
O3_2018_3_9,KiO3,2018,3,9,68,Eiseniella tetraedra,5075,3.428571,6,11.63718211
