Sample_spp,code,SiteLong,SiteShort,SiteCode,Sample_ID,day,mo,yr,DOY,Season,SeasonCode,Yryly_Temp,Species,SppCode,density_per_m2
Auba_10_7_2004_BR,Auba_2004_7_10,Aubach oh.Wiesthal,Auba,1,grob,10,7,2004,192,late,2,NA,Baetis rhodani,BR,38.4
Auba_10_7_2004_ET,Auba_2004_7_10,Aubach,Auba,1,grob,10,7,2004,192,late,2,NA,Eiseniella tetraedra,ET,0.8
Auba_10_7_2004_ED,Auba_2004_7_10,Aubach,Auba,1,Grob,10,7,2004,192,late,2,NA,Ephemera danica,ED,49.6
Auba_10_7_2004_ED,Auba_2004_7_10,Aubach,Auba,1,Einzelexemplare,10,7,2004,192,late,2,NA,Ephemera danica,ED,49.6
Auba_10_7_2004_PO,Auba_2004_7_10,Aubach,Auba,1,Fein,10,7,2004,192,late,2,NA,Prodiamesa olivacea,PO,28.8
Auba_10_7_2004_PO,Auba_2004_7_10,Aubach,Auba,1,Grob,10,7,2004,192,late,2,NA,Prodiamesa olivacea,PO,28.8
Bieb_9_7_2004_AF,Bieb_2004_7_9,Bieber oh. Roﬂbach,Bieb,2,grob,9,7,2004,191,late,2,NA,Ancylus fluviatilis,AF,NA
Bieb_9_7_2004_BR,Bieb_2004_7_9,Bieber,Bieb,2,grob,9,7,2004,191,late,2,NA,Baetis rhodani,BR,26.4
Bieb_9_7_2004_ED,Bieb_2004_7_9,Bieber,Bieb,2,Einzelexemplare,9,7,2004,191,late,2,NA,Ephemera danica,ED,5.6
Bieb_9_7_2004_HS,Bieb_2004_7_9,Bieber,Bieb,2,Grob,9,7,2004,191,late,2,NA,Hydropsyche siltalai,HS,14.4
Bieb_9_7_2004_PO,Bieb_2004_7_9,Bieber,Bieb,2,Grob,9,7,2004,191,late,2,NA,Prodiamesa olivacea,PO,374.4
Auba_24_3_2005_AF,Auba_2005_3_24,Aubach oh Wiesenthal,Auba,1,grob,24,3,2005,83,early,1,NA,Ancylus fluviatilis,AF,12.34286
Auba_6_6_2005_AF,Auba_2005_6_6,Aubach oh Wiesenthal,Auba,1,grob,6,6,2005,157,late,2,NA,Ancylus fluviatilis,AF,1.371429
Auba_24_3_2005_BR,Auba_2005_3_24,Aubach oh.Wiesthal,Auba,1,grob,24,3,2005,83,early,1,NA,Baetis rhodani,BR,58.4
Auba_6_6_2005_BR,Auba_2005_6_6,Aubach oh.Wiesthal,Auba,1,grob,6,6,2005,157,late,2,NA,Baetis rhodani,BR,32
Auba_24_3_2005_ED,Auba_2005_3_24,Aubach,Auba,1,Grob,24,3,2005,83,early,1,NA,Ephemera danica,ED,102.8571
Auba_24_3_2005_HS,Auba_2005_3_24,Aubach,Auba,1,Grob,24,3,2005,83,early,1,NA,Hydropsyche siltalai,HS,49.37143
Auba_6_6_2005_HS,Auba_2005_6_6,Aubach,Auba,1,"Grob, extra",6,6,2005,157,late,2,NA,Hydropsyche siltalai,HS,39.77143
Auba_6_6_2005_HS,Auba_2005_6_6,Aubach,Auba,1,Grob,6,6,2005,157,late,2,NA,Hydropsyche siltalai,HS,39.77143
Auba_24_3_2005_PO,Auba_2005_3_24,Aubach,Auba,1,Grob,24,3,2005,73,early,1,NA,Prodiamesa olivacea,PO,45.25714
Auba_24_3_2005_PO,Auba_2005_3_24,Aubach,Auba,1,Fein,24,3,2005,73,early,1,NA,Prodiamesa olivacea,PO,45.25714
Auba_6_6_2005_PO,Auba_2005_6_6,Aubach,Auba,1,Grob,6,6,2005,157,late,2,NA,Prodiamesa olivacea,PO,2.742857
O3_22_3_2005_AF,O3_2005_3_22,KiO3/O3/Rothenbergen,O3,3,grob,22,3,2005,81,early,1,NA,Ancylus fluviatilis,AF,0.8
O3_22_3_2005_BR,O3_2005_3_22,KiO3/O3/Rothenbergen,O3,3,grob,22,3,2005,81,early,1,NA,Baetis rhodani,BR,5.6
O3_22_3_2005_ED,O3_2005_3_22,KiO3/O3/Rodenbauch,O3,3,Grob,22,3,2005,81,early,1,NA,Ephemera danica,ED,0.8
O3_22_3_2005_GR,O3_2005_3_22,KiO3/O3/Rothenbergen,O3,3,grob,22,3,2005,81,early,1,NA,Gammarus roeselii,GR,33.6
O3_22_3_2005_OV,O3_2005_3_22,KiO3/O3/Rothenbergen,O3,3,grob,22,3,2005,81,early,1,NA,Orectochilus villosus,OV,4
O3_22_3_2005_PO,O3_2005_3_22,KiO3/O3/Rodenbauch,O3,3,Fein,22,3,2005,81,early,1,NA,Prodiamesa olivacea,PO,6.4
O3_22_3_2005_PO,O3_2005_3_22,KiO3/O3/Rodenbauch,O3,3,Grob,22,3,2005,81,early,1,NA,Prodiamesa olivacea,PO,6.4
W1_22_3_2005_AA,W1_2005_3_22,KiW1/W1/Bulau,W1,4,Grob-Totholz,22,3,2005,81,early,1,NA,Aphelocheirus aestivalis,AA,38.4
W1_22_3_2005_BR,W1_2005_3_22,KiW1/W1/Bulau,W1,4,grob,22,3,2005,81,early,1,NA,Baetis rhodani,BR,2.4
W1_22_3_2005_ET,W1_2005_3_22,KiW1/W1/Bulau,W1,4,Einzelexemplar,22,3,2005,81,early,1,NA,Eiseniella tetraedra,ET,4.8
W1_22_3_2005_ED,W1_2005_3_22,KiW1/W1/Bulau,W1,4,Einzelexemplare,22,3,2005,81,early,1,NA,Ephemera danica,ED,9.6
W1_22_3_2005_ED,W1_2005_3_22,KiW1/W1/Bulau,W1,4,Grob,22,3,2005,81,early,1,NA,Ephemera danica,ED,9.6
W1_22_3_2005_GR,W1_2005_3_22,KiW1/W1/Bulau,W1,4,grob,22,3,2005,81,early,1,NA,Gammarus roeselii,GR,24
W1_22_3_2005_HS,W1_2005_3_22,KiW1/W1/Bulau,W1,4,Grob,22,3,2005,81,early,1,NA,Hydropsyche siltalai,HS,1.6
W1_22_3_2005_HS,W1_2005_3_22,KiW1/W1/Bulau,W1,4,Einzelexemplare,22,3,2005,81,early,1,NA,Hydropsyche siltalai,HS,1.6
W1_22_3_2005_OV,W1_2005_3_22,KiW1/W1/Bulau,W1,4,grob,22,3,2005,81,early,1,NA,Orectochilus villosus,OV,1.6
W1_22_3_2005_PO,W1_2005_3_22,KiW1/W1/Bulau,W1,4,Grob,22,3,2005,81,early,1,NA,Prodiamesa olivacea,PO,4
W1_22_3_2005_PO,W1_2005_3_22,KiW1/W1/Bulau,W1,4,Fein,22,3,2005,81,early,1,NA,Prodiamesa olivacea,PO,4
Auba_15_6_2006_AF,Auba_2006_6_15,Aubach oh Wiesenthal,Auba,1,grob,15,6,2006,166,late,2,NA,Ancylus fluviatilis,AF,2.88
Auba_10_4_2006_BR,Auba_2006_4_10,Aubach oh.Wiesthal,Auba,1,grob,10,4,2006,100,early,1,NA,Baetis rhodani,BR,15.84
Auba_15_6_2006_BR,Auba_2006_6_15,Aubach oh.Wiesthal,Auba,1,grob,15,6,2006,166,late,2,NA,Baetis rhodani,BR,8.64
Auba_10_4_2006_ED,Auba_2006_4_10,Aubach,Auba,1,Grob,10,4,2006,100,early,1,NA,Ephemera danica,ED,15.36
Auba_15_6_2006_ED,Auba_2006_6_15,Aubach,Auba,1,Grob,15,6,2006,166,late,2,NA,Ephemera danica,ED,11.52
Auba_10_4_2006_HS,Auba_2006_4_10,Aubach,Auba,1,Grob,10,4,2006,100,early,1,NA,Hydropsyche siltalai,HS,28.8
Auba_15_6_2006_HS,Auba_2006_6_15,Aubach,Auba,1,Einzelexemplare,15,6,2006,166,late,2,NA,Hydropsyche siltalai,HS,44.8
Auba_15_6_2006_HS,Auba_2006_6_15,Aubach,Auba,1,Grob,15,6,2006,166,late,2,NA,Hydropsyche siltalai,HS,44.8
Auba_10_4_2006_PO,Auba_2006_4_10,Aubach,Auba,1,Grob,10,4,2006,100,early,1,NA,Prodiamesa olivacea,PO,24.96
Bieb_13_7_2006_AF,Bieb_2006_7_13,Bieber oh. Roﬂbach,Bieb,2,grob,13,7,2006,194,late,2,NA,Ancylus fluviatilis,AF,1.2
Bieb_10_4_2006_BR,Bieb_2006_4_10,Bieber,Bieb,2,grob,10,4,2006,100,early,1,NA,Baetis rhodani,BR,155.2
Bieb_13_7_2006_BR,Bieb_2006_7_13,Bieber,Bieb,2,grob,13,7,2006,194,late,2,NA,Baetis rhodani,BR,33.6
Bieb_10_4_2006_ED,Bieb_2006_4_10,Bieber,Bieb,2,Grob,10,4,2006,100,early,1,NA,Ephemera danica,ED,4.8
Bieb_13_7_2006_HS,Bieb_2006_7_13,Bieber,Bieb,2,Grob,13,7,2006,194,late,2,NA,Hydropsyche siltalai,HS,7.2
Bieb_10_4_2006_OV,Bieb_2006_4_10,Bieber,Bieb,2,grob,10,4,2006,100,early,1,NA,Orectochilus villosus,OV,24
Bieb_10_4_2006_PO,Bieb_2006_4_10,Bieber,Bieb,2,Grob,10,4,2006,100,early,1,NA,Prodiamesa olivacea,PO,NA
Bieb_13_7_2006_PO,Bieb_2006_7_13,Bieber,Bieb,2,Grob,13,7,2006,194,late,2,NA,Prodiamesa olivacea,PO,63.6
O3_21_6_2006_AF,O3_2006_6_21,KiO3/O3/Rothenbergen,O3,3,grob,21,6,2006,172,late,2,NA,Ancylus fluviatilis,AF,19.2
O3_21_6_2006_AA,O3_2006_6_21,KiO3/O3/Rothenbergen,O3,3,Grob,21,6,2006,172,late,2,NA,Aphelocheirus aestivalis,AA,141.6
O3_21_6_2006_BR,O3_2006_6_21,KiO3/O3/Rothenbergen,O3,3,grob,21,6,2006,172,late,2,NA,Baetis rhodani,BR,5.6
O3_21_6_2006_ED,O3_2006_6_21,KiO3/O3/Rodenbauch,O3,3,Grob,21,6,2006,172,late,2,NA,Ephemera danica,ED,15.2
O3_21_6_2006_ED,O3_2006_6_21,KiO3/O3/Rodenbauch,O3,3,Einzelexemplare,21,6,2006,172,late,2,NA,Ephemera danica,ED,15.2
O3_21_6_2006_GR,O3_2006_6_21,KiO3/O3/Rothenbergen,O3,3,grob,21,6,2006,172,late,2,NA,Gammarus roeselii,GR,206.4
O3_21_6_2006_PO,O3_2006_6_21,KiO3/O3/Rodenbauch,O3,3,Grob,21,6,2006,172,late,2,NA,Prodiamesa olivacea,PO,19.2
W1_13_7_2006_AA,W1_2006_7_13,KiW1/W1/Bulau,W1,4,Grob,13,7,2006,194,late,2,NA,Aphelocheirus aestivalis,AA,33.8087
W1_21_6_2006_AA,W1_2006_6_21,KiW1/W1/Bulau,W1,4,Grob-Totholz,21,6,2006,172,late,2,NA,Aphelocheirus aestivalis,AA,NA
W1_13_7_2006_ED,W1_2006_7_13,KiW1/W1/Bulau,W1,4,Grob,13,7,2006,194,late,2,NA,Ephemera danica,ED,35.86087
W1_13_7_2006_ED,W1_2006_7_13,KiW1/W1/Bulau,W1,4,Einzelexemplare,13,7,2006,194,late,2,NA,Ephemera danica,ED,35.86087
W1_13_7_2006_GR,W1_2006_7_13,KiW1/W1/Bulau,W1,4,grob,13,7,2006,194,late,2,NA,Gammarus roeselii,GR,12.06957
W1_13_7_2006_PO,W1_2006_7_13,KiW1/W1/Bulau,W1,4,Grob,13,7,2006,194,late,2,NA,Prodiamesa olivacea,PO,NA
Auba_12_7_2007_BR,Auba_2007_7_12,Aubach oh.Wiesthal,Auba,1,grob,12,7,2007,193,late,2,NA,Baetis rhodani,BR,30.8
Auba_12_7_2007_ET,Auba_2007_7_12,Aubach,Auba,1,grob,12,7,2007,193,late,2,NA,Eiseniella tetraedra,ET,3.6
Auba_12_7_2007_ED,Auba_2007_7_12,Aubach,Auba,1,Grob,12,7,2007,193,late,2,NA,Ephemera danica,ED,26.4
Auba_12_7_2007_ED,Auba_2007_7_12,Aubach,Auba,1,Einzelexemplare,12,7,2007,193,late,2,NA,Ephemera danica,ED,26.4
Auba_12_7_2007_HS,Auba_2007_7_12,Aubach,Auba,1,Grob,12,7,2007,193,late,2,NA,Hydropsyche siltalai,HS,3.6
Auba_12_7_2007_PO,Auba_2007_7_12,Aubach,Auba,1,Grob,12,7,2007,193,late,2,NA,Prodiamesa olivacea,PO,4.8
Bieb_12_7_2007_BR,Bieb_2007_7_12,Bieber,Bieb,2,grob,12,7,2007,193,late,2,NA,Baetis rhodani,BR,14.4
Bieb_12_7_2007_HS,Bieb_2007_7_12,Bieber,Bieb,2,Grob,12,7,2007,193,late,2,NA,Hydropsyche siltalai,HS,3.2
Bieb_12_7_2007_PO,Bieb_2007_7_12,Bieber,Bieb,2,Grob,12,7,2007,193,late,2,NA,Prodiamesa olivacea,PO,8.8
O3_12_4_2007_AF,O3_2007_4_12,KiO3/O3/Rothenbergen,O3,3,grob,12,4,2007,102,early,1,NA,Ancylus fluviatilis,AF,54.72
O3_12_4_2007_AA,O3_2007_4_12,KiO3/O3/Rothenbergen,O3,3,Grob,12,4,2007,102,early,1,NA,Aphelocheirus aestivalis,AA,17.28
O3_12_4_2007_BR,O3_2007_4_12,KiO3/O3/Rothenbergen,O3,3,grob,12,4,2007,102,early,1,NA,Baetis rhodani,BR,7.36
O3_12_4_2007_BR,O3_2007_4_12,KiO3/O3/Rothenbergen,O3,3,Einzelexemplar,12,4,2007,102,early,1,NA,Baetis rhodani,BR,7.36
O3_12_4_2007_ET,O3_2007_4_12,KiO3/O3/Rothenbergen,O3,3,grob,12,4,2007,102,early,1,NA,Eiseniella tetraedra,ET,0.8
O3_12_4_2007_ED,O3_2007_4_12,KiO3/O3/Rodenbauch,O3,3,Einzelexemplare,12,4,2007,102,early,1,NA,Ephemera danica,ED,6.56
O3_12_4_2007_ED,O3_2007_4_12,KiO3/O3/Rodenbauch,O3,3,Grob,12,4,2007,102,early,1,NA,Ephemera danica,ED,6.56
O3_12_4_2007_GR,O3_2007_4_12,KiO3/O3/Rothenbergen,O3,3,grob,12,4,2007,102,early,1,NA,Gammarus roeselii,GR,126.72
O3_12_4_2007_PO,O3_2007_4_12,KiO3/O3/Rodenbauch,O3,3,Grob,12,4,2007,102,early,1,NA,Prodiamesa olivacea,PO,NA
W1_12_4_2007_AF,W1_2007_4_12,KiW1/W1/Bulau,W1,4,grob,12,4,2007,102,early,1,NA,Ancylus fluviatilis,AF,1.6
W1_12_4_2007_AA,W1_2007_4_12,KiW1/W1/Bulau,W1,4,Grob,12,4,2007,102,early,1,NA,Aphelocheirus aestivalis,AA,11.2
W1_12_4_2007_BR,W1_2007_4_12,KiW1/W1/Bulau,W1,4,grob,12,4,2007,102,early,1,NA,Baetis rhodani,BR,2.4
W1_12_4_2007_BR,W1_2007_4_12,KiW1/W1/Bulau,W1,4,Einzelexemplar,12,4,2007,102,early,1,NA,Baetis rhodani,BR,2.4
W1_12_4_2007_ED,W1_2007_4_12,KiW1/W1/Bulau,W1,4,Grob,12,4,2007,102,early,1,NA,Ephemera danica,ED,28.8
W1_12_4_2007_HS,W1_2007_4_12,KiW1/W1/Bulau,W1,4,Grob,12,4,2007,102,early,1,NA,Hydropsyche siltalai,HS,8
W1_12_4_2007_PO,W1_2007_4_12,KiW1/W1/Bulau,W1,4,Grob,12,4,2007,102,early,1,NA,Prodiamesa olivacea,PO,1.6
Auba_23_4_2008_AF,Auba_2008_4_23,Aubach oh Wiesenthal,Auba,1,grob,23,4,2008,114,early,1,NA,Ancylus fluviatilis,AF,0.914286
Auba_23_4_2008_BR,Auba_2008_4_23,Aubach oh.Wiesthal,Auba,1,grob,23,4,2008,114,early,1,NA,Baetis rhodani,BR,75.73333
Auba_23_6_2008_BR,Auba_2008_6_23,Aubach oh.Wiesthal,Auba,1,grob,23,6,2008,175,late,2,NA,Baetis rhodani,BR,25.31868
Auba_23_4_2008_ED,Auba_2008_4_23,Aubach,Auba,1,Einzelexemplare,23,4,2008,114,early,1,NA,Ephemera danica,ED,19.80952
Auba_23_4_2008_ED,Auba_2008_4_23,Aubach,Auba,1,Grob,23,4,2008,114,early,1,NA,Ephemera danica,ED,19.80952
Auba_23_6_2008_ED,Auba_2008_6_23,Aubach,Auba,1,Grob,23,6,2008,175,late,2,NA,Ephemera danica,ED,16.87912
Auba_23_6_2008_GR,Auba_2008_6_23,Aubach,Auba,1,21TP,23,6,2008,175,late,2,NA,Gammarus roeselii,GR,0.761905
Auba_23_4_2008_HS,Auba_2008_4_23,Aubach,Auba,1,Grob,23,4,2008,114,early,1,NA,Hydropsyche siltalai,HS,6.247619
Auba_23_6_2008_HS,Auba_2008_6_23,Aubach,Auba,1,Grob,23,6,2008,175,late,2,NA,Hydropsyche siltalai,HS,2.871795
Auba_23_6_2008_PO,Auba_2008_6_23,Aubach,Auba,1,Grob,23,6,2008,175,late,2,NA,Prodiamesa olivacea,PO,55.61905
Bieb_23_6_2008_BR,Bieb_2008_6_23,Bieber,Bieb,2,Einzelexemplar,23,6,2008,175,late,2,NA,Baetis rhodani,BR,3.047619
Bieb_24_4_2008_BR,Bieb_2008_4_24,Bieber,Bieb,2,grob,24,4,2008,115,early,1,NA,Baetis rhodani,BR,79.80952
Bieb_24_4_2008_ET,Bieb_2008_4_24,Bieber,Bieb,2,grob,24,4,2008,115,early,1,NA,Eiseniella tetraedra,ET,1.714286
Bieb_23_6_2008_HS,Bieb_2008_6_23,Bieber,Bieb,2,Grob,23,6,2008,175,late,2,NA,Hydropsyche siltalai,HS,6.857143
Bieb_24_4_2008_HS,Bieb_2008_4_24,Bieber,Bieb,2,Grob,24,4,2008,115,early,1,NA,Hydropsyche siltalai,HS,27.04762
Bieb_24_4_2008_OV,Bieb_2008_4_24,Bieber,Bieb,2,grob,24,4,2008,115,early,1,NA,Orectochilus villosus,OV,3.428571
Bieb_23_6_2008_PO,Bieb_2008_6_23,Bieber,Bieb,2,Grob,23,6,2008,175,late,2,NA,Prodiamesa olivacea,PO,283.4286
Bieb_24_4_2008_PO,Bieb_2008_4_24,Bieber,Bieb,2,Grob,24,4,2008,115,early,1,NA,Prodiamesa olivacea,PO,34.28571
O3_11_6_2008_AF,O3_2008_6_11,KiO3/O3/Rothenbergen,O3,3,grob,11,6,2008,163,late,2,NA,Ancylus fluviatilis,AF,4.571429
O3_28_4_2008_AF,O3_2008_4_28,KiO3/O3/Rothenbergen,O3,3,grob,28,4,2008,119,early,1,NA,Ancylus fluviatilis,AF,8.661654
O3_11_6_2008_AA,O3_2008_6_11,KiO3/O3/Rothenbergen,O3,3,Grob,11,6,2008,163,late,2,NA,Aphelocheirus aestivalis,AA,24.38095
O3_11_6_2008_AA,O3_2008_6_11,KiO3/O3/Rothenbergen,O3,3,Grob_21TP,11,6,2008,163,late,2,NA,Aphelocheirus aestivalis,AA,24.38095
O3_28_4_2008_AA,O3_2008_4_28,KiO3/O3/Rothenbergen,O3,3,Grob,28,4,2008,119,early,1,NA,Aphelocheirus aestivalis,AA,20.21053
O3_11_6_2008_BR,O3_2008_6_11,KiO3/O3/Rothenbergen,O3,3,grob,11,6,2008,163,late,2,NA,Baetis rhodani,BR,48
O3_28_4_2008_BR,O3_2008_4_28,KiO3/O3/Rothenbergen,O3,3,grob,28,4,2008,119,early,1,NA,Baetis rhodani,BR,16.6416
O3_28_4_2008_ET,O3_2008_4_28,KiO3/O3/Rothenbergen,O3,3,grob,28,4,2008,119,early,1,NA,Eiseniella tetraedra,ET,17.32331
O3_28_4_2008_GR,O3_2008_4_28,KiO3/O3/Rothenbergen,O3,3,grob,28,4,2008,119,early,1,NA,Gammarus roeselii,GR,70.21554
O3_11_6_2008_HS,O3_2008_6_11,KiO3/O3/Rodenbauch,O3,3,Grob 21 TP,11,6,2008,163,late,2,NA,Hydropsyche siltalai,HS,6.857143
O3_11_6_2008_HS,O3_2008_6_11,KiO3/O3/Rodenbauch,O3,3,Einzelexemplare,11,6,2008,163,late,2,NA,Hydropsyche siltalai,HS,6.857143
O3_11_6_2008_HS,O3_2008_6_11,KiO3/O3/Rodenbauch,O3,3,Grob,11,6,2008,163,late,2,NA,Hydropsyche siltalai,HS,6.857143
O3_28_4_2008_HS,O3_2008_4_28,KiO3/O3/Rodenbauch,O3,3,Grob,28,4,2008,119,early,1,NA,Hydropsyche siltalai,HS,2.887218
O3_28_4_2008_OV,O3_2008_4_28,KiO3/O3/Rothenbergen,O3,3,grob,28,4,2008,119,early,1,NA,Orectochilus villosus,OV,1.443609
O3_11_6_2008_PO,O3_2008_6_11,KiO3/O3/Rodenbauch,O3,3,Grob,11,6,2008,163,late,2,NA,Prodiamesa olivacea,PO,36.57143
W1_28_4_2008_AF,W1_2008_4_28,KiW1/W1/Bulau,W1,4,grob,28,4,2008,119,early,1,NA,Ancylus fluviatilis,AF,1.107692
W1_11_6_2008_AA,W1_2008_6_11,KiW1/W1/Bulau,W1,4,Grob,11,6,2008,163,late,2,NA,Aphelocheirus aestivalis,AA,6.247619
W1_28_4_2008_AA,W1_2008_4_28,KiW1/W1/Bulau,W1,4,Grob,28,4,2008,119,early,1,NA,Aphelocheirus aestivalis,AA,3.323077
W1_11_6_2008_BR,W1_2008_6_11,KiW1/W1/Bulau,W1,4,grob,11,6,2008,163,late,2,NA,Baetis rhodani,BR,2.742857
W1_11_6_2008_ET,W1_2008_6_11,KiW1/W1/Bulau,W1,4,grob,11,6,2008,163,late,2,NA,Eiseniella tetraedra,ET,2.742857
W1_11_6_2008_ED,W1_2008_6_11,KiW1/W1/Bulau,W1,4,Grob,11,6,2008,163,late,2,NA,Ephemera danica,ED,14.47619
