sample,site,yr,mo,day,DOY,taxa,ID_Art,Abundance_per_m2,spp_cm,spp_mm,b,a,log10(a),unit,dry_mass_original,dry_mass_mg,Yryly_Temp_old,Yryly_Temp
Auba_2001_6_21,Auba,2001,6,21,172,Habrophlebia lauta,5370,0.8,0.75,7.5,2.686,0.0047,NA,mg,1.053203785,1.053203785,NA,9.525
Auba_2006_4_10,Auba,2006,4,10,100,Elmis aenea/maugetii/rietscheli/rioloides,20171,1.6,0.375,3.75,2.879,0.0074,NA,mg,0.33255826,0.33255826,NA,8.958333333
Auba_2010_6_29,Auba,2010,6,29,180,Dixa sp.,4989,0.8,0.75,7.5,2.692,0.0025,NA,mg,0.567028555,0.567028555,NA,9.141666667
Auba_2017_6_12,Auba,2017,6,12,163,Agapetus sp.,4254,0.8,0.75,7.5,2.958,0.0082,NA,mg,3.178667266,3.178667266,8.736242286,10.00833333
Auba_2011_3_24,Auba,2011,3,24,83,Limnius perrisi,18418,0.96,0.65625,6.5625,2.879,0.0074,NA,mg,1.66561369,1.66561369,NA,8.966666667
Auba_2011_3_24,Auba,2011,3,24,83,Nemoura sp.,6108,0.96,0.65625,6.5625,2.762,0.0056,NA,mg,1.011424522,1.011424522,NA,8.966666667
Auba_2015_3_10,Auba,2015,3,10,69,Limnius volckmari,18421,0.96,0.65625,6.5625,2.879,0.0074,NA,mg,1.66561369,1.66561369,9.396444518,10.16666667
Auba_2015_3_10,Auba,2015,3,10,69,Nemoura sp.,6108,0.96,0.65625,6.5625,2.762,0.0056,NA,mg,1.011424522,1.011424522,9.396444518,10.16666667
Auba_2013_3_20,Auba,2013,3,20,79,Amphinemura sp.,4293,1,0.65625,6.5625,2.762,0.0056,NA,mg,1.011424522,1.011424522,9.511455665,9.041666667
Auba_2008_6_23,Auba,2008,6,23,175,Hydraena gracilis,18064,2.10989,0.3125,3.125,2.91,0.0077,NA,mg,0.212082233,0.212082233,NA,9.55
Auba_2011_3_24,Auba,2011,3,24,83,Pisidium sp.,6425,0.96,0.6875,6.875,2.477,0.0163,NA,mg,1.932467009,1.932467009,NA,8.966666667
Auba_2008_4_23,Auba,2008,4,23,114,Torleya major,7083,0.914286,0.75,7.5,2.676,0.0103,NA,mg,2.262044611,2.262044611,NA,9.475
Auba_2010_6_29,Auba,2010,6,29,180,Limnius volckmari,18421,1.066667,0.65625,6.5625,2.879,0.0074,NA,mg,1.66561369,1.66561369,NA,9.141666667
Auba_2011_7_25,Auba,2011,7,25,206,Limnius volckmari,18421,1.066667,0.65625,6.5625,2.879,0.0074,NA,mg,1.66561369,1.66561369,NA,9.133333333
Auba_2017_3_16,Auba,2017,3,16,75,Baetis fuscatus/scambus,4398,0.761905,0.9375,9.375,2.875,0.0053,NA,mg,3.301363073,3.301363073,8.800749868,9.85
Auba_2018_6_15,Auba,2018,6,15,166,Anomalopterygella chauviniana,4327,0.761905,0.9375,9.375,2.933,0.004,NA,mg,2.836950414,2.836950414,10.19572503,10.325
Auba_2011_3_24,Auba,2011,3,24,83,Torleya major,7083,0.96,0.75,7.5,2.676,0.0103,NA,mg,2.262044611,2.262044611,NA,8.966666667
Auba_2010_6_29,Auba,2010,6,29,180,Pisidium sp.,6425,1.066667,0.6875,6.875,2.477,0.0163,NA,mg,1.932467009,1.932467009,NA,9.141666667
Auba_2001_4_23,Auba,2001,4,23,113,Hydraena gracilis,18064,2.4,0.3125,3.125,2.91,0.0077,NA,mg,0.212082233,0.212082233,NA,9.75
Auba_2001_6_21,Auba,2001,6,21,172,Silo nigricornis,6833,0.8,0.9375,9.375,2.839,0.0056,NA,mg,3.218210746,3.218210746,NA,9.525
Auba_2001_9_4,Auba,2001,9,4,247,Glossosoma sp.,5316,0.8,0.9375,9.375,2.958,0.0082,NA,mg,6.150421616,6.150421616,NA,9.75
Auba_2001_9_4,Auba,2001,9,4,247,Silo piceus,6835,0.8,0.9375,9.375,2.839,0.0056,NA,mg,3.218210746,3.218210746,NA,9.75
Auba_2002_6_14,Auba,2002,6,14,165,Baetis vernus,4427,0.8,0.9375,9.375,2.875,0.0053,NA,mg,3.301363073,3.301363073,NA,9.808333333
Auba_2005_3_24,Auba,2005,3,24,83,Glossosoma sp.,5316,0.8,0.9375,9.375,2.958,0.0082,NA,mg,6.150421616,6.150421616,NA,9.1
Auba_2006_4_10,Auba,2006,4,10,100,Leptophlebia marginata,5730,0.8,0.9375,9.375,2.686,0.0047,NA,mg,1.917841475,1.917841475,NA,8.958333333
Auba_2007_3_11,Auba,2007,3,11,70,Leptophlebia marginata,5730,0.8,0.9375,9.375,2.686,0.0047,NA,mg,1.917841475,1.917841475,NA,11.24166667
Auba_2007_7_12,Auba,2007,7,12,193,Baetis fuscatus/scambus,4398,0.8,0.9375,9.375,2.875,0.0053,NA,mg,3.301363073,3.301363073,NA,11.33333333
Auba_2009_6_23,Auba,2009,6,23,174,Baetis muticus,4409,0.8,0.9375,9.375,2.875,0.0053,NA,mg,3.301363073,3.301363073,NA,9.175
Auba_2014_3_11,Auba,2014,3,11,70,Oreodytes sanmarkii,18616,2,0.375,3.75,2.501,0.0618,NA,mg,1.685158191,1.685158191,9.50444614,10.34166667
Auba_2014_3_11,Auba,2014,3,11,70,Oulimnius tuberculatus,18629,2,0.375,3.75,2.879,0.0074,NA,mg,0.33255826,0.33255826,9.50444614,10.34166667
Auba_2014_6_17,Auba,2014,6,17,168,Silo pallipes,6834,0.8,0.9375,9.375,2.839,0.0056,NA,mg,3.218210746,3.218210746,9.290964368,10.69166667
Auba_2018_3_7,Auba,2018,3,7,66,Leptophlebia marginata,5730,0.8,0.9375,9.375,2.686,0.0047,NA,mg,1.917841475,1.917841475,9.961518032,9.741666667
Auba_2017_3_16,Auba,2017,3,16,75,Pisidium sp.,6425,1.142857,0.6875,6.875,2.477,0.0163,NA,mg,1.932467009,1.932467009,8.800749868,9.85
Auba_2013_6_17,Auba,2013,6,17,168,Limnius volckmari,18421,1.2,0.65625,6.5625,2.879,0.0074,NA,mg,1.66561369,1.66561369,9.168300937,8.8
Auba_2013_6_17,Auba,2013,6,17,168,Psychomyia pusilla,6661,1.2,0.65625,6.5625,2.873,0.0039,NA,mg,0.867970077,0.867970077,9.168300937,8.8
Auba_2017_3_16,Auba,2017,3,16,75,Chaetopteryx villosa ssp.,21248,0.380952,2.1,21,2.933,0.004,NA,mg,30.20850152,30.20850152,8.800749868,9.85
Auba_2011_7_25,Auba,2011,7,25,206,Oreodytes sanmarkii,18616,2.133333,0.375,3.75,2.501,0.0618,NA,mg,1.685158191,1.685158191,NA,9.133333333
Auba_2001_9_4,Auba,2001,9,4,247,Leptoceridae Gen. sp.,5726,0.8,1.026923077,10.26923077,3.212,0.0034,NA,mg,6.033074593,6.033074593,NA,9.75
Auba_2007_7_12,Auba,2007,7,12,193,Pisidium sp.,6425,1.2,0.6875,6.875,2.477,0.0163,NA,mg,1.932467009,1.932467009,NA,11.33333333
Auba_2001_4_23,Auba,2001,4,23,113,Siphonoperla sp.,6867,0.8,1.05,10.5,2.724,0.0065,NA,mg,3.932176536,3.932176536,NA,9.75
Auba_2009_4_8,Auba,2009,4,8,98,Elmis aenea/maugetii/rietscheli/rioloides,20171,2.285714,0.375,3.75,2.879,0.0074,NA,mg,0.33255826,0.33255826,NA,9.5
Auba_2012_6_21,Auba,2012,6,21,173,Oreodytes sanmarkii,18616,2.285714,0.375,3.75,2.501,0.0618,NA,mg,1.685158191,1.685158191,NA,9.633333333
Auba_2005_6_6,Auba,2005,6,6,157,Hydraena sp.,18130,2.742857,0.3125,3.125,2.91,0.0077,NA,mg,0.212082233,0.212082233,NA,9.333333333
Auba_2008_4_23,Auba,2008,4,23,114,Lype reducta,5921,0.914286,0.9375,9.375,2.873,0.0039,NA,mg,2.418455408,2.418455408,NA,9.475
Auba_2008_4_23,Auba,2008,4,23,114,Silo pallipes,6834,0.914286,0.9375,9.375,2.839,0.0056,NA,mg,3.218210746,3.218210746,NA,9.475
Auba_2009_4_8,Auba,2009,4,8,98,Athripsodes sp.,4371,0.761905,1.125,11.25,3.212,0.0034,NA,mg,8.086876656,8.086876656,NA,9.5
Auba_2001_4_23,Auba,2001,4,23,113,Oreodytes sanmarkii,18616,2.4,0.375,3.75,2.501,0.0618,NA,mg,1.685158191,1.685158191,NA,9.75
Auba_2010_3_16,Auba,2010,3,16,75,Elmis aenea/maugetii/rietscheli/rioloides,20171,2.4,0.375,3.75,2.879,0.0074,NA,mg,0.33255826,0.33255826,NA,9.533333333
Auba_2011_3_24,Auba,2011,3,24,83,Baetis niger,4410,0.96,0.9375,9.375,2.875,0.0053,NA,mg,3.301363073,3.301363073,NA,8.966666667
Auba_2011_3_24,Auba,2011,3,24,83,Baetis vernus,4427,0.96,0.9375,9.375,2.875,0.0053,NA,mg,3.301363073,3.301363073,NA,8.966666667
Auba_2011_3_24,Auba,2011,3,24,83,Lepidostoma basale,5713,0.96,0.9375,9.375,2.649,0.0079,NA,mg,2.967419884,2.967419884,NA,8.966666667
Auba_2011_3_24,Auba,2011,3,24,83,Leuctra nigra,5779,0.96,0.9375,9.375,2.719,0.0028,NA,mg,1.230121281,1.230121281,NA,8.966666667
Auba_2013_6_17,Auba,2013,6,17,168,Elmis aenea/maugetii/rietscheli/rioloides,20171,2.4,0.375,3.75,2.879,0.0074,NA,mg,0.33255826,0.33255826,9.168300937,8.8
Auba_2013_6_17,Auba,2013,6,17,168,Clinocerinae Gen. sp.,19847,1.2,0.75,7.5,2.546,0.0054,NA,mg,0.912640498,0.912640498,9.168300937,8.8
Auba_2015_3_10,Auba,2015,3,10,69,Leptophlebia marginata,5730,0.96,0.9375,9.375,2.686,0.0047,NA,mg,1.917841475,1.917841475,9.396444518,10.16666667
Auba_2010_3_16,Auba,2010,3,16,75,Paraleptophlebia submarginata,6309,0.8,1.125,11.25,2.686,0.0047,NA,mg,3.12963387,3.12963387,NA,9.533333333
Auba_2005_6_6,Auba,2005,6,6,157,Limnius volckmari,18421,1.371429,0.65625,6.5625,2.879,0.0074,NA,mg,1.66561369,1.66561369,NA,9.333333333
Auba_2005_6_6,Auba,2005,6,6,157,Micrasema longulum,5983,1.371429,0.65625,6.5625,2.818,0.0083,NA,mg,1.66563342,1.66563342,NA,9.333333333
Auba_2005_6_6,Auba,2005,6,6,157,Psychomyia pusilla,6661,1.371429,0.65625,6.5625,2.873,0.0039,NA,mg,0.867970077,0.867970077,NA,9.333333333
Auba_2013_3_20,Auba,2013,3,20,79,Silo nigricornis,6833,1,0.9375,9.375,2.839,0.0056,NA,mg,3.218210746,3.218210746,9.511455665,9.041666667
Auba_2013_3_20,Auba,2013,3,20,79,Silo piceus,6835,1,0.9375,9.375,2.839,0.0056,NA,mg,3.218210746,3.218210746,9.511455665,9.041666667
Auba_2012_3_19,Auba,2012,3,19,79,Micrasema longulum,5983,1.515789,0.65625,6.5625,2.818,0.0083,NA,mg,1.66563342,1.66563342,NA,10.00833333
Auba_2001_6_21,Auba,2001,6,21,172,Hydraena gracilis,18064,3.2,0.3125,3.125,2.91,0.0077,NA,mg,0.212082233,0.212082233,NA,9.525
Auba_2003_3_17,Auba,2003,3,17,76,Hydraena dentipes,18048,3.2,0.3125,3.125,2.91,0.0077,NA,mg,0.212082233,0.212082233,NA,9.483333333
Auba_2003_3_17,Auba,2003,3,17,76,Hydraena minutissima,18091,3.2,0.3125,3.125,2.91,0.0077,NA,mg,0.212082233,0.212082233,NA,9.483333333
Auba_2003_3_17,Auba,2003,3,17,76,Hydraena sp.,18130,3.2,0.3125,3.125,2.91,0.0077,NA,mg,0.212082233,0.212082233,NA,9.483333333
Auba_2011_7_25,Auba,2011,7,25,206,Hydraena sp.,18130,3.2,0.3125,3.125,2.91,0.0077,NA,mg,0.212082233,0.212082233,NA,9.133333333
Auba_2008_6_23,Auba,2008,6,23,175,Brachycentrus sp.,4480,0.761905,1.3125,13.125,2.818,0.0083,NA,mg,11.74578248,11.74578248,NA,9.55
Auba_2009_4_8,Auba,2009,4,8,98,Micrasema longulum,5983,1.52381,0.65625,6.5625,2.818,0.0083,NA,mg,1.66563342,1.66563342,NA,9.5
Auba_2009_4_8,Auba,2009,4,8,98,Micrasema minimum,5984,1.52381,0.65625,6.5625,2.818,0.0083,NA,mg,1.66563342,1.66563342,NA,9.5
Auba_2009_4_8,Auba,2009,4,8,98,Polycelis sp.,7744,0.761905,1.3125,13.125,2.168,0.0082,NA,mg,2.176973593,2.176973593,NA,9.5
Auba_2011_7_25,Auba,2011,7,25,206,Anomalopterygella chauviniana,4327,1.066667,0.9375,9.375,2.933,0.004,NA,mg,2.836950414,2.836950414,NA,9.133333333
Auba_2011_7_25,Auba,2011,7,25,206,Baetis fuscatus/scambus,4398,1.066667,0.9375,9.375,2.875,0.0053,NA,mg,3.301363073,3.301363073,NA,9.133333333
Auba_2012_6_21,Auba,2012,6,21,173,Psychomyia pusilla,6661,1.52381,0.65625,6.5625,2.873,0.0039,NA,mg,0.867970077,0.867970077,NA,9.633333333
Auba_2012_6_21,Auba,2012,6,21,173,Polycelis sp.,7744,0.761905,1.3125,13.125,2.168,0.0082,NA,mg,2.176973593,2.176973593,NA,9.633333333
Auba_2012_6_21,Auba,2012,6,21,173,Rhithrogena sp.,6747,0.761905,1.3125,13.125,2.754,0.0108,NA,mg,12.96191774,12.96191774,NA,9.633333333
Auba_2019_4_2,Auba,2019,4,2,92,Nemoura sp.,6108,1.52381,0.65625,6.5625,2.762,0.0056,NA,mg,1.011424522,1.011424522,10.33313505,11.3
Auba_2011_3_24,Auba,2011,3,24,83,Siphonoperla sp.,6867,0.96,1.05,10.5,2.724,0.0065,NA,mg,3.932176536,3.932176536,NA,8.966666667
Auba_2015_3_10,Auba,2015,3,10,69,Siphonoperla sp.,6867,0.96,1.05,10.5,2.724,0.0065,NA,mg,3.932176536,3.932176536,9.396444518,10.16666667
Auba_2006_4_10,Auba,2006,4,10,100,Oreodytes sanmarkii,18616,2.72,0.375,3.75,2.501,0.0618,NA,mg,1.685158191,1.685158191,NA,8.958333333
Auba_2008_4_23,Auba,2008,4,23,114,Ancylus fluviatilis,4310,0.914286,1.125,11.25,2.7,0.028840315,-1.54,mg,19.8660631,19.8660631,NA,9.475
Auba_2009_4_8,Auba,2009,4,8,98,Pisidium sp.,6425,1.52381,0.6875,6.875,2.477,0.0163,NA,mg,1.932467009,1.932467009,NA,9.5
Auba_2012_6_21,Auba,2012,6,21,173,Pisidium sp.,6425,1.52381,0.6875,6.875,2.477,0.0163,NA,mg,1.932467009,1.932467009,NA,9.633333333
Auba_2001_4_23,Auba,2001,4,23,113,Amphinemura sp.,4293,1.6,0.65625,6.5625,2.762,0.0056,NA,mg,1.011424522,1.011424522,NA,9.75
Auba_2004_7_10,Auba,2004,7,10,192,Isoperla sp.,5673,0.8,1.3125,13.125,2.742,0.0196,NA,mg,22.80785194,22.80785194,NA,9.641666667
Auba_2007_7_12,Auba,2007,7,12,193,Polycelis nigra/tenuis,13666,0.8,1.3125,13.125,2.168,0.0082,NA,mg,2.176973593,2.176973593,NA,11.33333333
Auba_2011_7_25,Auba,2011,7,25,206,Platambus maculatus,18649,0.8,1.3125,13.125,2.502,0.0618,NA,mg,38.76796047,38.76796047,NA,9.133333333
Auba_2013_6_17,Auba,2013,6,17,168,Hygrotus sp.,18285,2,0.525,5.25,2.502,0.0618,NA,mg,3.91585906,3.91585906,9.168300937,8.8
Auba_2014_3_11,Auba,2014,3,11,70,Nemoura sp.,6108,1.6,0.65625,6.5625,2.762,0.0056,NA,mg,1.011424522,1.011424522,9.50444614,10.34166667
Auba_2015_6_16,Auba,2015,6,16,167,Isoperla sp.,5673,0.8,1.3125,13.125,2.742,0.0196,NA,mg,22.80785194,22.80785194,9.98543913,10.025
Auba_2017_3_16,Auba,2017,3,16,75,Orectochilus villosus,18613,1.142857,0.9375,9.375,2.586,0.0531,NA,mg,17.32256668,17.32256668,8.800749868,9.85
Auba_2009_6_23,Auba,2009,6,23,174,Pisidium sp.,6425,1.6,0.6875,6.875,2.477,0.0163,NA,mg,1.932467009,1.932467009,NA,9.175
Auba_2012_6_21,Auba,2012,6,21,173,Heptageniidae Gen. sp.,5458,0.761905,1.453125,14.53125,2.754,0.0108,NA,mg,17.15560931,17.15560931,NA,9.633333333
Auba_2007_7_12,Auba,2007,7,12,193,Lepidostoma basale,5713,1.2,0.9375,9.375,2.649,0.0079,NA,mg,2.967419884,2.967419884,NA,11.33333333
Auba_2007_7_12,Auba,2007,7,12,193,Lype reducta,5921,1.2,0.9375,9.375,2.873,0.0039,NA,mg,2.418455408,2.418455408,NA,11.33333333
Auba_2007_7_12,Auba,2007,7,12,193,Silo nigricornis,6833,1.2,0.9375,9.375,2.839,0.0056,NA,mg,3.218210746,3.218210746,NA,11.33333333
Auba_2013_3_20,Auba,2013,3,20,79,Ancylus fluviatilis,4310,1,1.125,11.25,2.7,0.028840315,-1.54,mg,19.8660631,19.8660631,9.511455665,9.041666667
Auba_2013_6_17,Auba,2013,6,17,168,Baetis rhodani,4415,1.2,0.9375,9.375,2.875,0.0053,NA,mg,3.301363073,3.301363073,9.168300937,8.8
Auba_2013_6_17,Auba,2013,6,17,168,Baetis vernus,4427,1.2,0.9375,9.375,2.875,0.0053,NA,mg,3.301363073,3.301363073,9.168300937,8.8
Auba_2013_6_17,Auba,2013,6,17,168,Silo pallipes,6834,1.2,0.9375,9.375,2.839,0.0056,NA,mg,3.218210746,3.218210746,9.168300937,8.8
Auba_2012_3_19,Auba,2012,3,19,79,Agapetus sp.,4254,1.515789,0.75,7.5,2.958,0.0082,NA,mg,3.178667266,3.178667266,NA,10.00833333
Auba_2008_6_23,Auba,2008,6,23,175,Ecdyonurus venosus-Gr.,5059,0.761905,1.5,15,2.754,0.0108,NA,mg,18.72315717,18.72315717,NA,9.55
Auba_2009_4_8,Auba,2009,4,8,98,Psychodidae Gen. sp.,8753,1.52381,0.75,7.5,2.692,0.0025,NA,mg,0.567028555,0.567028555,NA,9.5
Auba_2009_4_8,Auba,2009,4,8,98,Torleya major,7083,1.52381,0.75,7.5,2.676,0.0103,NA,mg,2.262044611,2.262044611,NA,9.5
Auba_2012_6_21,Auba,2012,6,21,173,Ecdyonurus helveticus-Gr.,5045,0.761905,1.5,15,2.754,0.0108,NA,mg,18.72315717,18.72315717,NA,9.633333333
Auba_2017_3_16,Auba,2017,3,16,75,Drusus annulatus/biguttatus,20153,0.761905,1.5,15,2.933,0.004,NA,mg,11.25992905,11.25992905,8.800749868,9.85
Auba_2018_6_15,Auba,2018,6,15,166,Gyraulus albus,5354,1.52381,0.75,7.5,2.65,0.075857758,-1.12,mg,15.80928934,15.80928934,10.19572503,10.325
Auba_2011_3_24,Auba,2011,3,24,83,Limnius volckmari,18421,1.76,0.65625,6.5625,2.879,0.0074,NA,mg,1.66561369,1.66561369,NA,8.966666667
Auba_2001_9_4,Auba,2001,9,4,247,Heptageniidae Gen. sp.,5458,0.8,1.453125,14.53125,2.754,0.0108,NA,mg,17.15560931,17.15560931,NA,9.75
Auba_2001_4_23,Auba,2001,4,23,113,Sericostoma flavicorne/personatum,9747,0.8,1.5,15,2.741,0.0074,NA,mg,12.38505275,12.38505275,NA,9.75
Auba_2001_6_21,Auba,2001,6,21,172,Ecdyonurus sp.,5053,0.8,1.5,15,2.754,0.0108,NA,mg,18.72315717,18.72315717,NA,9.525
Auba_2001_6_21,Auba,2001,6,21,172,Ecdyonurus venosus,5058,0.8,1.5,15,2.754,0.0108,NA,mg,18.72315717,18.72315717,NA,9.525
Auba_2009_6_23,Auba,2009,6,23,174,Ecdyonurus venosus-Gr.,5059,0.8,1.5,15,2.754,0.0108,NA,mg,18.72315717,18.72315717,NA,9.175
Auba_2013_3_20,Auba,2013,3,20,79,Ecdyonurus venosus-Gr.,5059,0.8,1.5,15,2.754,0.0108,NA,mg,18.72315717,18.72315717,9.511455665,9.041666667
Auba_2013_6_17,Auba,2013,6,17,168,Ecdyonurus venosus-Gr.,5059,0.8,1.5,15,2.754,0.0108,NA,mg,18.72315717,18.72315717,9.168300937,8.8
Auba_2015_6_16,Auba,2015,6,16,167,Ecdyonurus venosus-Gr.,5059,0.8,1.5,15,2.754,0.0108,NA,mg,18.72315717,18.72315717,9.98543913,10.025
Auba_2017_6_12,Auba,2017,6,12,163,Ecdyonurus venosus-Gr.,5059,0.8,1.5,15,2.754,0.0108,NA,mg,18.72315717,18.72315717,8.736242286,10.00833333
Auba_2017_3_16,Auba,2017,3,16,75,Calopteryx virgo,4532,0.380952,3.3,33,2.742,0.005,NA,mg,72.90129238,72.90129238,8.800749868,9.85
Auba_2009_4_8,Auba,2009,4,8,98,Tinodes rostocki,7066,1.52381,0.825,8.25,2.873,0.0039,NA,mg,1.675084813,1.675084813,NA,9.5
Auba_2009_4_8,Auba,2009,4,8,98,Hydropsyche dinarica,5594,0.761905,1.65,16.5,2.926,0.0046,NA,mg,16.79251916,16.79251916,NA,9.5
Auba_2009_4_8,Auba,2009,4,8,98,Hydropsyche pellucidula-Gr.,13023,0.761905,1.65,16.5,2.926,0.0046,NA,mg,16.79251916,16.79251916,NA,9.5
Auba_2006_4_10,Auba,2006,4,10,100,Amphinemura sp.,4293,1.92,0.65625,6.5625,2.762,0.0056,NA,mg,1.011424522,1.011424522,NA,8.958333333
Auba_2006_4_10,Auba,2006,4,10,100,Psychomyia pusilla,6661,1.92,0.65625,6.5625,2.873,0.0039,NA,mg,0.867970077,0.867970077,NA,8.958333333
Auba_2011_3_24,Auba,2011,3,24,83,Amphinemura sp.,4293,1.92,0.65625,6.5625,2.762,0.0056,NA,mg,1.011424522,1.011424522,NA,8.966666667
