Observer,Sample_spp,SiteLong,SiteShort,SiteCode,Sample_ID,Sampling_date,day,mo,yr,DOY,Season,SeasonCode,Species,SppCode,Body_Length,Head_Width,density_per_m2,Body_Width,Height,Length of 1st Antennae,Adult?,has citellum?
Lucie,W1_25_4_2016_PO,KiW1/W1/Bulau,W1,4,Grob,25/04/2016,25,4,2016,116,early,1,Prodiamesa olivacea,PO,9.34,0.38,0.8,,,,,
Lucie,W1_10_6_2014_PO,KiW1/W1/Bulau,W1,4,Grob,41918,10,6,2014,161,late,2,Prodiamesa olivacea,PO,11.39,0.67,3.692308,,,,,
Lucie,W1_10_6_2014_PO,KiW1/W1/Bulau,W1,4,Grob,41918,10,6,2014,161,late,2,Prodiamesa olivacea,PO,8.86,0.59,3.692308,,,,,
Lucie,W1_10_3_2014_PO,KiW1/W1/Bulau,W1,4,Grob,41915,10,3,2014,69,early,1,Prodiamesa olivacea,PO,12.4,0.66,37.44,,,,,
Lucie,W1_10_3_2014_PO,KiW1/W1/Bulau,W1,4,Grob,41915,10,3,2014,69,early,1,Prodiamesa olivacea,PO,11.58,0.49,37.44,,,,,
Lucie,W1_10_3_2014_PO,KiW1/W1/Bulau,W1,4,Grob,41915,10,3,2014,69,early,1,Prodiamesa olivacea,PO,14.78,0.48,37.44,,,,,
Lucie,W1_10_3_2014_PO,KiW1/W1/Bulau,W1,4,Grob,41915,10,3,2014,69,early,1,Prodiamesa olivacea,PO,12.19,0.46,37.44,,,,,
Lucie,W1_10_3_2014_PO,KiW1/W1/Bulau,W1,4,Grob,41915,10,3,2014,69,early,1,Prodiamesa olivacea,PO,12.56,0.46,37.44,,,,,
Lucie,W1_10_3_2014_PO,KiW1/W1/Bulau,W1,4,Grob,41915,10,3,2014,69,early,1,Prodiamesa olivacea,PO,11.44,0.43,37.44,,,,,
Lucie,W1_10_3_2014_PO,KiW1/W1/Bulau,W1,4,Grob,41915,10,3,2014,69,early,1,Prodiamesa olivacea,PO,11.6,0.41,37.44,,,,,
Lucie,W1_10_3_2014_PO,KiW1/W1/Bulau,W1,4,Grob,41915,10,3,2014,69,early,1,Prodiamesa olivacea,PO,13.26,0.41,37.44,,,,,
Lucie,W1_10_3_2014_PO,KiW1/W1/Bulau,W1,4,Grob,41915,10,3,2014,69,early,1,Prodiamesa olivacea,PO,11.68,0.4,37.44,,,,,
Lucie,W1_10_3_2014_PO,KiW1/W1/Bulau,W1,4,Grob,41915,10,3,2014,69,early,1,Prodiamesa olivacea,PO,12.75,0.29,37.44,,,,,
Lucie,W1_27_6_2013_PO,KiW1/W1/Bulau,W1,4,Grob,27/06/2013,27,6,2013,178,late,2,Prodiamesa olivacea,PO,9.62,0.54,4.5,,,,,
Lucie,W1_27_6_2013_PO,KiW1/W1/Bulau,W1,4,Grob,27/06/2013,27,6,2013,178,late,2,Prodiamesa olivacea,PO,11.21,0.5,4.5,,,,,
Lucie,W1_27_6_2013_PO,KiW1/W1/Bulau,W1,4,Grob,27/06/2013,27,6,2013,178,late,2,Prodiamesa olivacea,PO,11.21,0.33,4.5,,,,,
Lucie,W1_9_4_2013_PO,KiW1/W1/Bulau,W1,4,Grob,41521,9,4,2013,99,early,1,Prodiamesa olivacea,PO,13.08,0.89,4.8,,,,,
Lucie,W1_9_4_2013_PO,KiW1/W1/Bulau,W1,4,Grob,41521,9,4,2013,99,early,1,Prodiamesa olivacea,PO,10.82,0.6,4.8,,,,,
Lucie,W1_9_4_2013_PO,KiW1/W1/Bulau,W1,4,Grob,41521,9,4,2013,99,early,1,Prodiamesa olivacea,PO,11.66,0.56,4.8,,,,,
Lucie,W1_9_4_2013_PO,KiW1/W1/Bulau,W1,4,Grob,41521,9,4,2013,99,early,1,Prodiamesa olivacea,PO,12.14,0.54,4.8,,,,,
Lucie,W1_9_4_2013_PO,KiW1/W1/Bulau,W1,4,Grob,41521,9,4,2013,99,early,1,Prodiamesa olivacea,PO,12.53,0.47,4.8,,,,,
Lucie,W1_9_4_2013_PO,KiW1/W1/Bulau,W1,4,Grob,41521,9,4,2013,99,early,1,Prodiamesa olivacea,PO,9.77,0.33,4.8,,,,,
Lucie,W1_28_6_2012_PO,KiW1/W1/Bulau,W1,4,Grob,28/06/2012,28,6,2012,180,late,2,Prodiamesa olivacea,PO,15.79,0.95,11.2,,,,,
Lucie,W1_28_6_2012_PO,KiW1/W1/Bulau,W1,4,Grob,28/06/2012,28,6,2012,180,late,2,Prodiamesa olivacea,PO,9.65,0.88,11.2,,,,,
Lucie,W1_28_6_2012_PO,KiW1/W1/Bulau,W1,4,Grob,28/06/2012,28,6,2012,180,late,2,Prodiamesa olivacea,PO,9.91,0.7,11.2,,,,,
Lucie,W1_28_6_2012_PO,KiW1/W1/Bulau,W1,4,Grob,28/06/2012,28,6,2012,180,late,2,Prodiamesa olivacea,PO,12.96,0.67,11.2,,,,,
Lucie,W1_28_6_2012_PO,KiW1/W1/Bulau,W1,4,Grob,28/06/2012,28,6,2012,180,late,2,Prodiamesa olivacea,PO,15.47,0.64,11.2,,,,,
Lucie,W1_28_6_2012_PO,KiW1/W1/Bulau,W1,4,Grob,28/06/2012,28,6,2012,180,late,2,Prodiamesa olivacea,PO,12.24,0.55,11.2,,,,,
Lucie,W1_28_6_2012_PO,KiW1/W1/Bulau,W1,4,Grob,28/06/2012,28,6,2012,180,late,2,Prodiamesa olivacea,PO,10.17,0.54,11.2,,,,,
Lucie,W1_28_6_2012_PO,KiW1/W1/Bulau,W1,4,Grob,28/06/2012,28,6,2012,180,late,2,Prodiamesa olivacea,PO,10.36,0.5,11.2,,,,,
Lucie,W1_28_6_2012_PO,KiW1/W1/Bulau,W1,4,Grob,28/06/2012,28,6,2012,180,late,2,Prodiamesa olivacea,PO,10.47,0.49,11.2,,,,,
Lucie,W1_28_6_2012_PO,KiW1/W1/Bulau,W1,4,Grob,28/06/2012,28,6,2012,180,late,2,Prodiamesa olivacea,PO,7.16,0.21,11.2,,,,,
Lucie,W1_21_3_2012_PO,KiW1/W1/Bulau,W1,4,Grob,21/03/2012,21,3,2012,81,early,1,Prodiamesa olivacea,PO,14.07,0.87,13.6,,,,,
Lucie,W1_21_3_2012_PO,KiW1/W1/Bulau,W1,4,Grob,21/03/2012,21,3,2012,81,early,1,Prodiamesa olivacea,PO,12.74,0.65,13.6,,,,,
Lucie,W1_21_3_2012_PO,KiW1/W1/Bulau,W1,4,Grob,21/03/2012,21,3,2012,81,early,1,Prodiamesa olivacea,PO,9.02,0.61,13.6,,,,,
Lucie,W1_21_3_2012_PO,KiW1/W1/Bulau,W1,4,Grob,21/03/2012,21,3,2012,81,early,1,Prodiamesa olivacea,PO,11.51,0.58,13.6,,,,,
Lucie,W1_21_3_2012_PO,KiW1/W1/Bulau,W1,4,Grob,21/03/2012,21,3,2012,81,early,1,Prodiamesa olivacea,PO,13.8,0.58,13.6,,,,,
Lucie,W1_21_3_2012_PO,KiW1/W1/Bulau,W1,4,Grob,21/03/2012,21,3,2012,81,early,1,Prodiamesa olivacea,PO,13.85,0.52,13.6,,,,,
Lucie,W1_21_3_2012_PO,KiW1/W1/Bulau,W1,4,Grob,21/03/2012,21,3,2012,81,early,1,Prodiamesa olivacea,PO,12.46,0.52,13.6,,,,,
Lucie,W1_21_3_2012_PO,KiW1/W1/Bulau,W1,4,Grob,21/03/2012,21,3,2012,81,early,1,Prodiamesa olivacea,PO,10.14,0.45,13.6,,,,,
Lucie,W1_21_3_2012_PO,KiW1/W1/Bulau,W1,4,Grob,21/03/2012,21,3,2012,81,early,1,Prodiamesa olivacea,PO,8.3,0.34,13.6,,,,,
Lucie,W1_21_3_2012_PO,KiW1/W1/Bulau,W1,4,Grob,21/03/2012,21,3,2012,81,early,1,Prodiamesa olivacea,PO,10.55,0.33,13.6,,,,,
Lucie,W1_26_4_2010_PO,KiW1/W1/Bulau,W1,4,Grob,26/04/2010,26,4,2010,116,early,1,Prodiamesa olivacea,PO,6.94,0.37,22.73684,,,,,
Lucie,W1_12_4_2007_PO,KiW1/W1/Bulau,W1,4,Grob,39420,12,4,2007,102,early,1,Prodiamesa olivacea,PO,7.3,0.21,1.6,,,,,
Lucie,W1_13_7_2006_PO,KiW1/W1/Bulau,W1,4,Grob,13/07/2006,13,7,2006,194,late,2,Prodiamesa olivacea,PO,7.59,0.43,NA,,,,,
Lucie,W1_13_7_2006_PO,KiW1/W1/Bulau,W1,4,Grob,13/07/2006,13,7,2006,194,late,2,Prodiamesa olivacea,PO,7.24,0.36,NA,,,,,
Lucie,W1_22_3_2005_PO,KiW1/W1/Bulau,W1,4,Grob,22/03/2005,22,3,2005,81,early,1,Prodiamesa olivacea,PO,6.68,NA,4,,,,,
Lucie,W1_22_3_2005_PO,KiW1/W1/Bulau,W1,4,Grob,22/03/2005,22,3,2005,81,early,1,Prodiamesa olivacea,PO,5.57,NA,4,,,,,
Lucie,W1_22_3_2005_PO,KiW1/W1/Bulau,W1,4,Grob,22/03/2005,22,3,2005,81,early,1,Prodiamesa olivacea,PO,12.28,0.64,4,,,,,
Lucie,W1_22_3_2005_PO,KiW1/W1/Bulau,W1,4,Grob,22/03/2005,22,3,2005,81,early,1,Prodiamesa olivacea,PO,12.48,0.58,4,,,,,
Lucie,W1_22_3_2005_PO,KiW1/W1/Bulau,W1,4,Fein,22/03/2005,22,3,2005,81,early,1,Prodiamesa olivacea,PO,8.23,0.53,4,,,,,
Lucie,W1_22_3_2005_PO,KiW1/W1/Bulau,W1,4,Grob,22/03/2005,22,3,2005,81,early,1,Prodiamesa olivacea,PO,9.48,0.51,4,,,,,
Lucie,W1_22_3_2005_PO,KiW1/W1/Bulau,W1,4,Fein,22/03/2005,22,3,2005,81,early,1,Prodiamesa olivacea,PO,4.73,0.5,4,,,,,
Lucie,W1_22_3_2005_PO,KiW1/W1/Bulau,W1,4,Fein,22/03/2005,22,3,2005,81,early,1,Prodiamesa olivacea,PO,9.42,0.49,4,,,,,
Lucie,W1_22_3_2005_PO,KiW1/W1/Bulau,W1,4,Grob,22/03/2005,22,3,2005,81,early,1,Prodiamesa olivacea,PO,6.84,0.33,4,,,,,
Lucie,W1_22_3_2005_PO,KiW1/W1/Bulau,W1,4,Grob,22/03/2005,22,3,2005,81,early,1,Prodiamesa olivacea,PO,5.85,0.22,4,,,,,
Ellen,O3_18_6_2019_PO,KiO3/O3/Rodenbauch,O3,3,Grob,18/06/2019,18,6,2019,169,late,2,Prodiamesa olivacea,PO,10.89,0.7,24.8,,,,,
Ellen,O3_18_6_2019_PO,KiO3/O3/Rodenbauch,O3,3,Grob,18/06/2019,18,6,2019,169,late,2,Prodiamesa olivacea,PO,11.58,0.69,24.8,,,,,
Ellen,O3_18_6_2019_PO,KiO3/O3/Rodenbauch,O3,3,Grob,18/06/2019,18,6,2019,169,late,2,Prodiamesa olivacea,PO,11.25,0.62,24.8,,,,,
Ellen,O3_18_6_2019_PO,KiO3/O3/Rodenbauch,O3,3,Grob,18/06/2019,18,6,2019,169,late,2,Prodiamesa olivacea,PO,10.47,0.55,24.8,,,,,
Lucie,O3_2_6_2017_PO,KiO3/O3/Rodenbauch,O3,3,Grob,42772,2,6,2017,153,late,2,Prodiamesa olivacea,PO,10.56,0.58,0.761905,,,,,
Lucie,O3_28_3_2017_PO,KiO3/O3/Rodenbauch,O3,3,Grob,28/03/2017,28,3,2017,87,early,1,Prodiamesa olivacea,PO,12.45,0.67,6.857143,,,,,
Lucie,O3_28_3_2017_PO,KiO3/O3/Rodenbauch,O3,3,Grob,28/03/2017,28,3,2017,87,early,1,Prodiamesa olivacea,PO,11.46,0.65,6.857143,,,,,
Lucie,O3_28_3_2017_PO,KiO3/O3/Rodenbauch,O3,3,Grob,28/03/2017,28,3,2017,87,early,1,Prodiamesa olivacea,PO,13.29,0.6,6.857143,,,,,
Lucie,O3_28_3_2017_PO,KiO3/O3/Rodenbauch,O3,3,Grob,28/03/2017,28,3,2017,87,early,1,Prodiamesa olivacea,PO,12.99,0.58,6.857143,,,,,
Lucie,O3_28_3_2017_PO,KiO3/O3/Rodenbauch,O3,3,Grob,28/03/2017,28,3,2017,87,early,1,Prodiamesa olivacea,PO,12.03,0.55,6.857143,,,,,
Lucie,O3_28_3_2017_PO,KiO3/O3/Rodenbauch,O3,3,Grob,28/03/2017,28,3,2017,87,early,1,Prodiamesa olivacea,PO,13.84,0.51,6.857143,,,,,
Lucie,O3_28_3_2017_PO,KiO3/O3/Rodenbauch,O3,3,Grob,28/03/2017,28,3,2017,87,early,1,Prodiamesa olivacea,PO,10.86,0.47,6.857143,,,,,
Lucie,O3_28_3_2017_PO,KiO3/O3/Rodenbauch,O3,3,Grob,28/03/2017,28,3,2017,87,early,1,Prodiamesa olivacea,PO,11.46,0.46,6.857143,,,,,
Lucie,O3_28_3_2017_PO,KiO3/O3/Rodenbauch,O3,3,Grob,28/03/2017,28,3,2017,87,early,1,Prodiamesa olivacea,PO,13.2,0.4,6.857143,,,,,
Lucie,O3_28_3_2017_PO,KiO3/O3/Rodenbauch,O3,3,Grob,28/03/2017,28,3,2017,87,early,1,Prodiamesa olivacea,PO,11.1,0.36,6.857143,,,,,
Lucie,O3_1_7_2015_PO,KiO3/O3/Rodenbauch,O3,3,Grob,42011,1,7,2015,182,late,2,Prodiamesa olivacea,PO,9.59,0.55,39.2,,,,,
Lucie,O3_1_7_2015_PO,KiO3/O3/Rodenbauch,O3,3,Grob,42011,1,7,2015,182,late,2,Prodiamesa olivacea,PO,11.32,0.5,39.2,,,,,
Lucie,O3_1_7_2015_PO,KiO3/O3/Rodenbauch,O3,3,Grob,42011,1,7,2015,182,late,2,Prodiamesa olivacea,PO,11.36,0.48,39.2,,,,,
Lucie,O3_1_7_2015_PO,KiO3/O3/Rodenbauch,O3,3,Grob,42011,1,7,2015,182,late,2,Prodiamesa olivacea,PO,12.1,0.41,39.2,,,,,
Lucie,O3_1_7_2015_PO,KiO3/O3/Rodenbauch,O3,3,Grob,42011,1,7,2015,182,late,2,Prodiamesa olivacea,PO,12.17,0.31,39.2,,,,,
Lucie,O3_1_7_2015_PO,KiO3/O3/Rodenbauch,O3,3,Grob,42011,1,7,2015,182,late,2,Prodiamesa olivacea,PO,12.36,0.25,39.2,,,,,
Lucie,O3_12_6_2014_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41979,12,6,2014,168,late,2,Prodiamesa olivacea,PO,9.68,0.67,4.8,,,,,
Lucie,O3_12_6_2014_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41979,12,6,2014,168,late,2,Prodiamesa olivacea,PO,12.88,0.59,4.8,,,,,
Lucie,O3_12_6_2014_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41979,12,6,2014,168,late,2,Prodiamesa olivacea,PO,11.04,0.51,4.8,,,,,
Lucie,O3_12_6_2014_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41979,12,6,2014,168,late,2,Prodiamesa olivacea,PO,11.74,0.51,4.8,,,,,
Lucie,O3_12_6_2014_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41979,12,6,2014,168,late,2,Prodiamesa olivacea,PO,12.94,0.49,4.8,,,,,
Lucie,O3_12_6_2014_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41979,12,6,2014,168,late,2,Prodiamesa olivacea,PO,10.46,0.48,4.8,,,,,
Lucie,O3_12_6_2014_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41979,12,6,2014,168,late,2,Prodiamesa olivacea,PO,9.04,0.43,4.8,,,,,
Lucie,O3_12_6_2014_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41979,12,6,2014,168,late,2,Prodiamesa olivacea,PO,8.43,0.41,4.8,,,,,
Lucie,O3_12_6_2014_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41979,12,6,2014,168,late,2,Prodiamesa olivacea,PO,9.66,0.41,4.8,,,,,
Lucie,O3_12_6_2014_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41979,12,6,2014,168,late,2,Prodiamesa olivacea,PO,11.17,0.32,4.8,,,,,
Lucie,O3_10_3_2014_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41915,10,3,2014,69,early,1,Prodiamesa olivacea,PO,11.31,0.63,3.047619,,,,,
Lucie,O3_10_3_2014_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41915,10,3,2014,69,early,1,Prodiamesa olivacea,PO,10.59,0.39,3.047619,,,,,
Lucie,O3_10_3_2014_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41915,10,3,2014,69,early,1,Prodiamesa olivacea,PO,7.45,0.3,3.047619,,,,,
Lucie,O3_1_7_2013_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41281,1,7,2013,182,late,2,Prodiamesa olivacea,PO,10.33,0.86,11.2,,,,,
Lucie,O3_1_7_2013_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41281,1,7,2013,182,late,2,Prodiamesa olivacea,PO,13.45,0.74,11.2,,,,,
Lucie,O3_1_7_2013_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41281,1,7,2013,182,late,2,Prodiamesa olivacea,PO,12.32,0.65,11.2,,,,,
Lucie,O3_1_7_2013_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41281,1,7,2013,182,late,2,Prodiamesa olivacea,PO,13.04,0.61,11.2,,,,,
Lucie,O3_1_7_2013_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41281,1,7,2013,182,late,2,Prodiamesa olivacea,PO,9.37,0.59,11.2,,,,,
Lucie,O3_1_7_2013_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41281,1,7,2013,182,late,2,Prodiamesa olivacea,PO,10.57,0.56,11.2,,,,,
Lucie,O3_1_7_2013_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41281,1,7,2013,182,late,2,Prodiamesa olivacea,PO,9.56,0.46,11.2,,,,,
Lucie,O3_1_7_2013_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41281,1,7,2013,182,late,2,Prodiamesa olivacea,PO,13.09,0.45,11.2,,,,,
Lucie,O3_1_7_2013_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41281,1,7,2013,182,late,2,Prodiamesa olivacea,PO,11.25,0.45,11.2,,,,,
Lucie,O3_1_7_2013_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41281,1,7,2013,182,late,2,Prodiamesa olivacea,PO,8.24,0.35,11.2,,,,,
Lucie,O3_12_7_2012_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41250,12,7,2012,194,late,2,Prodiamesa olivacea,PO,13.11,0.76,27.54286,,,,,
Lucie,O3_12_7_2012_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41250,12,7,2012,194,late,2,Prodiamesa olivacea,PO,10.88,0.66,27.54286,,,,,
Lucie,O3_12_7_2012_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41250,12,7,2012,194,late,2,Prodiamesa olivacea,PO,8.42,0.63,27.54286,,,,,
Lucie,O3_12_7_2012_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41250,12,7,2012,194,late,2,Prodiamesa olivacea,PO,10.31,0.52,27.54286,,,,,
Lucie,O3_12_7_2012_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41250,12,7,2012,194,late,2,Prodiamesa olivacea,PO,12.83,0.49,27.54286,,,,,
Lucie,O3_12_7_2012_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41250,12,7,2012,194,late,2,Prodiamesa olivacea,PO,7.51,0.48,27.54286,,,,,
Lucie,O3_12_7_2012_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41250,12,7,2012,194,late,2,Prodiamesa olivacea,PO,8.76,0.48,27.54286,,,,,
Lucie,O3_12_7_2012_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41250,12,7,2012,194,late,2,Prodiamesa olivacea,PO,13.28,0.43,27.54286,,,,,
Lucie,O3_12_7_2012_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41250,12,7,2012,194,late,2,Prodiamesa olivacea,PO,9.42,0.38,27.54286,,,,,
Lucie,O3_12_7_2012_PO,KiO3/O3/Rodenbauch,O3,3,Grob,41250,12,7,2012,194,late,2,Prodiamesa olivacea,PO,8.69,0.37,27.54286,,,,,
Lucie,O3_21_3_2012_PO,KiO3/O3/Rodenbauch,O3,3,Grob,21/03/2012,21,3,2012,81,early,1,Prodiamesa olivacea,PO,14.92,0.8,135.7714,,,,,
Lucie,O3_21_3_2012_PO,KiO3/O3/Rodenbauch,O3,3,Grob,21/03/2012,21,3,2012,81,early,1,Prodiamesa olivacea,PO,13.94,0.73,135.7714,,,,,
Lucie,O3_21_3_2012_PO,KiO3/O3/Rodenbauch,O3,3,Grob,21/03/2012,21,3,2012,81,early,1,Prodiamesa olivacea,PO,13.91,0.7,135.7714,,,,,
Lucie,O3_21_3_2012_PO,KiO3/O3/Rodenbauch,O3,3,Grob,21/03/2012,21,3,2012,81,early,1,Prodiamesa olivacea,PO,14.64,0.66,135.7714,,,,,
Lucie,O3_21_3_2012_PO,KiO3/O3/Rodenbauch,O3,3,Grob,21/03/2012,21,3,2012,81,early,1,Prodiamesa olivacea,PO,12.25,0.62,135.7714,,,,,
Lucie,O3_21_3_2012_PO,KiO3/O3/Rodenbauch,O3,3,Grob,21/03/2012,21,3,2012,81,early,1,Prodiamesa olivacea,PO,14.54,0.6,135.7714,,,,,
Lucie,O3_21_3_2012_PO,KiO3/O3/Rodenbauch,O3,3,Grob,21/03/2012,21,3,2012,81,early,1,Prodiamesa olivacea,PO,14.58,0.56,135.7714,,,,,
Lucie,O3_21_3_2012_PO,KiO3/O3/Rodenbauch,O3,3,Grob,21/03/2012,21,3,2012,81,early,1,Prodiamesa olivacea,PO,10.08,0.5,135.7714,,,,,
Lucie,O3_21_3_2012_PO,KiO3/O3/Rodenbauch,O3,3,Grob,21/03/2012,21,3,2012,81,early,1,Prodiamesa olivacea,PO,15.46,0.49,135.7714,,,,,
Lucie,O3_21_3_2012_PO,KiO3/O3/Rodenbauch,O3,3,Grob,21/03/2012,21,3,2012,81,early,1,Prodiamesa olivacea,PO,13.37,0.43,135.7714,,,,,
Lucie,O3_21_7_2011_PO,KiO3/O3/Rodenbauch,O3,3,Grob,21/07/2011,21,7,2011,202,late,2,Prodiamesa olivacea,PO,10.09,0.65,8,,,,,
Lucie,O3_21_7_2011_PO,KiO3/O3/Rodenbauch,O3,3,Grob,21/07/2011,21,7,2011,202,late,2,Prodiamesa olivacea,PO,10.4,0.57,8,,,,,
Lucie,O3_21_7_2011_PO,KiO3/O3/Rodenbauch,O3,3,Grob,21/07/2011,21,7,2011,202,late,2,Prodiamesa olivacea,PO,11.55,0.55,8,,,,,
Lucie,O3_21_7_2011_PO,KiO3/O3/Rodenbauch,O3,3,Grob,21/07/2011,21,7,2011,202,late,2,Prodiamesa olivacea,PO,10.23,0.45,8,,,,,
Lucie,O3_21_7_2011_PO,KiO3/O3/Rodenbauch,O3,3,Grob,21/07/2011,21,7,2011,202,late,2,Prodiamesa olivacea,PO,10.4,0.35,8,,,,,
Lucie,O3_28_6_2010_PO,KiO3/O3/Rodenbauch,O3,3,Grob,28/06/2010,28,6,2010,179,late,2,Prodiamesa olivacea,PO,11.5,0.87,9,,,,,
Lucie,O3_28_6_2010_PO,KiO3/O3/Rodenbauch,O3,3,Grob,28/06/2010,28,6,2010,179,late,2,Prodiamesa olivacea,PO,11.53,0.76,9,,,,,
Lucie,O3_28_6_2010_PO,KiO3/O3/Rodenbauch,O3,3,Grob,28/06/2010,28,6,2010,179,late,2,Prodiamesa olivacea,PO,14.74,0.74,9,,,,,
Lucie,O3_28_6_2010_PO,KiO3/O3/Rodenbauch,O3,3,Grob,28/06/2010,28,6,2010,179,late,2,Prodiamesa olivacea,PO,10.87,0.5,9,,,,,
Lucie,O3_23_6_2009_PO,KiO3/O3/Rodenbauch,O3,3,Grob,23/06/2009,23,6,2009,174,late,2,Prodiamesa olivacea,PO,9.5,0.62,4.8,,,,,
Lucie,O3_9_4_2009_PO,KiO3/O3/Rodenbauch,O3,3,Grob,40060,9,4,2009,99,early,1,Prodiamesa olivacea,PO,12.63,0.75,8.380952,,,,,
Lucie,O3_9_4_2009_PO,KiO3/O3/Rodenbauch,O3,3,Grob,40060,9,4,2009,99,early,1,Prodiamesa olivacea,PO,12.99,0.63,8.380952,,,,,
Lucie,O3_9_4_2009_PO,KiO3/O3/Rodenbauch,O3,3,Grob,40060,9,4,2009,99,early,1,Prodiamesa olivacea,PO,14.12,0.61,8.380952,,,,,
Lucie,O3_9_4_2009_PO,KiO3/O3/Rodenbauch,O3,3,Grob,40060,9,4,2009,99,early,1,Prodiamesa olivacea,PO,12.17,0.59,8.380952,,,,,
Lucie,O3_9_4_2009_PO,KiO3/O3/Rodenbauch,O3,3,Grob,40060,9,4,2009,99,early,1,Prodiamesa olivacea,PO,11.15,0.55,8.380952,,,,,
Lucie,O3_9_4_2009_PO,KiO3/O3/Rodenbauch,O3,3,Grob,40060,9,4,2009,99,early,1,Prodiamesa olivacea,PO,11.98,0.47,8.380952,,,,,
Lucie,O3_9_4_2009_PO,KiO3/O3/Rodenbauch,O3,3,Grob,40060,9,4,2009,99,early,1,Prodiamesa olivacea,PO,10.3,0.46,8.380952,,,,,
