"Sample","Site","Date","Day","Month","Year","Date_new","Yryly_Temp","Num_Months"
"Auba_2017_6_12","Auba","6/12/2017",12,6,2017,2017-06-12,10.0083333333334,12
"Auba_2018_3_7","Auba","3/7/2018",7,3,2018,2018-03-07,9.7416666666667,12
"Auba_2018_6_15","Auba","6/15/2018",15,6,2018,2018-06-15,10.325,12
"Auba_2019_4_2","Auba","4/2/2019",2,4,2019,2019-04-02,11.3,12
"Auba_2019_7_5","Auba","7/5/2019",5,7,2019,2019-07-05,10.8416666666667,12
"Bieb_2001_4_26","Bieb","4/26/2001",26,4,2001,2001-04-26,9.93333333333336,12
"Bieb_2001_6_22","Bieb","6/22/2001",22,6,2001,2001-06-22,9.70000000000002,12
"Bieb_2001_8_30","Bieb","8/30/2001",30,8,2001,2001-08-30,10.1416666666667,12
"Bieb_2002_6_12","Bieb","6/12/2002",12,6,2002,2002-06-12,10,12
"Bieb_2003_3_11","Bieb","3/11/2003",11,3,2003,2003-03-11,9.65833333333336,12
"Bieb_2003_7_14","Bieb","7/14/2003",14,7,2003,2003-07-14,10.2083333333334,12
"Bieb_2004_4_5","Bieb","4/5/2004",5,4,2004,2004-04-05,10.6833333333334,12
"Bieb_2004_7_9","Bieb","7/9/2004",9,7,2004,2004-07-09,9.83333333333337,12
"Bieb_2006_4_10","Bieb","4/10/2006",10,4,2006,2006-04-10,9.17500000000003,12
"Bieb_2006_7_13","Bieb","7/13/2006",13,7,2006,2006-07-13,9.51666666666669,12
"Bieb_2007_3_22","Bieb","3/22/2007",22,3,2007,2007-03-22,11.4416666666667,12
"Bieb_2007_7_12","Bieb","7/12/2007",12,7,2007,2007-07-12,11.5416666666667,12
"Bieb_2008_4_24","Bieb","4/24/2008",24,4,2008,2008-04-24,9.6666666666667,12
"Bieb_2008_6_23","Bieb","6/23/2008",23,6,2008,2008-06-23,9.7416666666667,12
"Bieb_2009_4_8","Bieb","4/8/2009",8,4,2009,2009-04-08,9.70000000000004,12
"Bieb_2009_6_23","Bieb","6/23/2009",23,6,2009,2009-06-23,9.3666666666667,12
"Bieb_2010_3_16","Bieb","3/16/2010",16,3,2010,2010-03-16,9.75000000000003,12
"Bieb_2010_6_29","Bieb","6/29/2010",29,6,2010,2010-06-29,9.35000000000003,12
"Bieb_2011_3_24","Bieb","3/24/2011",24,3,2011,2011-03-24,9.1416666666667,12
"Bieb_2011_7_25","Bieb","7/25/2011",25,7,2011,2011-07-25,9.3166666666667,12
"Bieb_2012_3_19","Bieb","3/19/2012",19,3,2012,2012-03-19,10.2166666666667,12
"Bieb_2012_6_21","Bieb","6/21/2012",21,6,2012,2012-06-21,9.81666666666671,12
"Bieb_2013_3_19","Bieb","3/19/2013",19,3,2013,2013-03-19,9.1916666666667,12
"Bieb_2013_6_17","Bieb","6/17/2013",17,6,2013,2013-06-17,8.9666666666667,12
"Bieb_2014_3_11","Bieb","3/11/2014",11,3,2014,2014-03-11,10.5416666666667,12
"Bieb_2014_6_17","Bieb","6/17/2014",17,6,2014,2014-06-17,10.9,12
"Bieb_2015_3_25","Bieb","3/25/2015",25,3,2015,2015-03-25,10.35,12
"Bieb_2015_6_16","Bieb","6/16/2015",16,6,2015,2015-06-16,10.2083333333334,12
"Bieb_2016_4_11","Bieb","4/11/2016",11,4,2016,2016-04-11,10.625,12
"Bieb_2016_6_21","Bieb","6/21/2016",21,6,2016,2016-06-21,10.6916666666667,12
"Bieb_2017_3_16","Bieb","3/16/2017",16,3,2017,2017-03-16,10.1083333333334,12
"Bieb_2017_6_12","Bieb","6/12/2017",12,6,2017,2017-06-12,10.2833333333334,12
"Bieb_2018_3_7","Bieb","3/7/2018",7,3,2018,2018-03-07,9.9166666666667,12
"Bieb_2018_6_15","Bieb","6/15/2018",15,6,2018,2018-06-15,10.4916666666667,12
"Bieb_2019_4_2","Bieb","4/2/2019",2,4,2019,2019-04-02,11.5333333333334,12
"Bieb_2019_7_5","Bieb","7/5/2019",5,7,2019,2019-07-05,11.075,12
"O3_2002_7_2","O3","7/2/2002",2,7,2002,2002-07-02,10.5833333333334,12
"O3_2005_3_22","O3","3/22/2005",22,3,2005,2005-03-22,10.1083333333334,12
"O3_2006_6_21","O3","6/21/2006",21,6,2006,2006-06-21,9.93333333333337,12
"O3_2007_4_12","O3","4/12/2007",12,4,2007,2007-04-12,12.5333333333334,12
"O3_2007_7_20","O3","7/20/2007",20,7,2007,2007-07-20,12.25,12
"O3_2008_4_28","O3","4/28/2008",28,4,2008,2008-04-28,10.3583333333334,12
"O3_2008_6_11","O3","6/11/2008",11,6,2008,2008-06-11,10.4333333333334,12
"O3_2009_4_9","O3","4/9/2009",9,4,2009,2009-04-09,10.4166666666667,12
"O3_2009_6_23","O3","6/23/2009",23,6,2009,2009-06-23,10.0833333333334,12
"O3_2010_4_26","O3","4/26/2010",26,4,2010,2010-04-26,10.2666666666667,12
"O3_2010_6_26","O3","6/26/2010",26,6,2010,2010-06-26,10.125,12
"O3_2010_6_26","O3","6/26/2010",26,6,2010,2010-06-26,10.125,12
"O3_2010_6_28","O3","6/28/2010",28,6,2010,2010-06-28,10.125,12
"O3_2011_4_20","O3","4/20/2011",20,4,2011,2011-04-20,10.075,12
"O3_2011_7_21","O3","7/21/2011",21,7,2011,2011-07-21,10.0166666666667,12
"O3_2012_3_21","O3","3/21/2012",21,3,2012,2012-03-21,10.925,12
"O3_2012_7_12","O3","7/12/2012",12,7,2012,2012-07-12,10.625,12
"O3_2013_4_25","O3","4/25/2013",25,4,2013,2013-04-25,9.97500000000004,12
"O3_2013_7_1","O3","7/1/2013",1,7,2013,2013-07-01,9.94166666666671,12
"O3_2014_3_10","O3","3/10/2014",10,3,2014,2014-03-10,11.225,12
"O3_2014_6_12","O3","6/12/2014",12,6,2014,2014-06-12,11.625,12
"O3_2015_3_17","O3","3/17/2015",17,3,2015,2015-03-17,11.05,12
"O3_2015_7_1","O3","7/1/2015",1,7,2015,2015-07-01,10.9833333333334,12
"O3_2016_4_25","O3","4/25/2016",25,4,2016,2016-04-25,11.3583333333334,12
"O3_2016_7_6","O3","7/6/2016",6,7,2016,2016-07-06,11.2916666666667,12
"O3_2017_3_28","O3","3/28/2017",28,3,2017,2017-03-28,10.9666666666667,12
"O3_2017_6_2","O3","6/2/2017",2,6,2017,2017-06-02,11.1666666666667,12
"O3_2018_3_9","O3","3/9/2018",9,3,2018,2018-03-09,10.7,12
"O3_2018_6_7","O3","6/7/2018",7,6,2018,2018-06-07,11.2416666666667,12
"O3_2019_4_1","O3","4/1/2019",1,4,2019,2019-04-01,12.25,12
"O3_2019_6_16","O3","6/16/2019",16,6,2019,2019-06-16,11.95,12
"O3_2019_6_18","O3","6/18/2019",18,6,2019,2019-06-18,11.95,12
"W1_2005_3_22","W1","3/22/2005",22,3,2005,2005-03-22,10.25,12
"W1_2006_6_21","W1","6/21/2006",21,6,2006,2006-06-21,10.0583333333334,12
"W1_2006_6_21","W1","6/21/2006",21,6,2006,2006-06-21,10.0583333333334,12
"W1_2006_6_21","W1","6/21/2006",21,6,2006,2006-06-21,10.0583333333334,12
"W1_2006_6_21","W1","6/21/2006",21,6,2006,2006-06-21,10.0583333333334,12
"W1_2006_6_21","W1","6/21/2006",21,6,2006,2006-06-21,10.0583333333334,12
"W1_2006_6_21","W1","6/21/2006",21,6,2006,2006-06-21,10.0583333333334,12
"W1_2006_6_21","W1","6/21/2006",21,6,2006,2006-06-21,10.0583333333334,12
"W1_2006_6_21","W1","6/21/2006",21,6,2006,2006-06-21,10.0583333333334,12
"W1_2006_6_21","W1","6/21/2006",21,6,2006,2006-06-21,10.0583333333334,12
"W1_2006_6_21","W1","6/21/2006",21,6,2006,2006-06-21,10.0583333333334,12
"W1_2006_7_13","W1","7/13/2006",13,7,2006,2006-07-13,10.4,12
"W1_2007_4_12","W1","4/12/2007",12,4,2007,2007-04-12,12.6666666666667,12
"W1_2007_7_22","W1","7/22/2007",22,7,2007,2007-07-22,12.3583333333334,12
"W1_2008_4_28","W1","4/28/2008",28,4,2008,2008-04-28,10.4666666666667,12
"W1_2008_6_11","W1","6/11/2008",11,6,2008,2008-06-11,10.5583333333334,12
"W1_2009_5_7","W1","5/7/2009",7,5,2009,2009-05-07,10.4,12
"W1_2009_6_13","W1","6/13/2009",13,6,2009,2009-06-13,10.2166666666667,12
"W1_2010_4_26","W1","4/26/2010",26,4,2010,2010-04-26,10.425,12
"W1_2010_6_25","W1","6/25/2010",25,6,2010,2010-06-25,10.275,12
"W1_2011_4_20","W1","4/20/2011",20,4,2011,2011-04-20,10.2083333333334,12
"W1_2011_7_4","W1","7/4/2011",4,7,2011,2011-07-04,10.1583333333334,12
"W1_2012_3_21","W1","3/21/2012",21,3,2012,2012-03-21,11.0916666666667,12
"W1_2012_6_28","W1","6/28/2012",28,6,2012,2012-06-28,10.6583333333334,12
"W1_2013_4_9","W1","4/9/2013",9,4,2013,2013-04-09,10.1166666666667,12
"W1_2013_6_27","W1","6/27/2013",27,6,2013,2013-06-27,9.8416666666667,12
"W1_2014_3_10","W1","3/10/2014",10,3,2014,2014-03-10,11.3,12
"W1_2014_6_10","W1","6/10/2014",10,6,2014,2014-06-10,11.7083333333334,12
"W1_2015_3_17","W1","3/17/2015",17,3,2015,2015-03-17,11.1666666666667,12
"W1_2015_7_2","W1","7/2/2015",2,7,2015,2015-07-02,11.1416666666667,12
"W1_2015_7_12","W1","7/12/2015",12,7,2015,2015-07-12,11.1416666666667,12
"W1_2015_7_12","W1","7/12/2015",12,7,2015,2015-07-12,11.1416666666667,12
"W1_2015_7_12","W1","7/12/2015",12,7,2015,2015-07-12,11.1416666666667,12
"W1_2015_7_12","W1","7/12/2015",12,7,2015,2015-07-12,11.1416666666667,12
"W1_2015_7_12","W1","7/12/2015",12,7,2015,2015-07-12,11.1416666666667,12
"W1_2016_4_25","W1","4/25/2016",25,4,2016,2016-04-25,11.5083333333334,12
"W1_2016_7_12","W1","7/12/2016",12,7,2016,2016-07-12,11.4083333333334,12
"W1_2017_3_28","W1","3/28/2017",28,3,2017,2017-03-28,11.0416666666667,12
"W1_2017_6_2","W1","6/2/2017",2,6,2017,2017-06-02,11.25,12
"W1_2017_6_2","W1","6/2/2017",2,6,2017,2017-06-02,11.25,12
"W1_2017_6_2","W1","6/2/2017",2,6,2017,2017-06-02,11.25,12
"W1_2017_6_2","W1","6/2/2017",2,6,2017,2017-06-02,11.25,12
"W1_2017_6_2","W1","6/2/2017",2,6,2017,2017-06-02,11.25,12
"W1_2017_6_7","W1","6/7/2017",7,6,2017,2017-06-07,11.25,12
"W1_2018_3_9","W1","3/9/2018",9,3,2018,2018-03-09,10.825,12
"W1_2018_6_5","W1","6/5/2018",5,6,2018,2018-06-05,11.3583333333334,12
"W1_2019_4_1","W1","4/1/2019",1,4,2019,2019-04-01,12.3833333333334,12
"W1_2019_6_28","W1","6/28/2019",28,6,2019,2019-06-28,12.1166666666667,12
