code,siteShort,SiteShort,year,mo,day,DOY,Abundance_per_m2,Sum of mass * abundance,CWM,Yryly_Temp
Bieb_2013_3_19,Bieb,Bieb,2013,3,19,78,1051.2,12344.46816,11.74321552,9.191666667
Bieb_2013_6_17,Bieb,Bieb,2013,6,17,168,645.672737,10399.96784,16.10718131,8.966666667
Bieb_2014_3_11,Bieb,Bieb,2014,3,11,70,891.2,22219.47311,24.93208383,10.54166667
Bieb_2014_6_17,Bieb,Bieb,2014,6,17,168,814.4,27569.95371,33.85308657,10.9
Bieb_2015_3_25,Bieb,Bieb,2015,3,25,84,1400.914366,58740.82299,41.93034522,10.35
Bieb_2015_6_16,Bieb,Bieb,2015,6,16,167,924.8,53016.38143,57.32740206,10.20833333
Bieb_2016_4_11,Bieb,Bieb,2016,4,11,102,1285.142947,31891.57541,24.81558607,10.625
Bieb_2016_6_21,Bieb,Bieb,2016,6,21,173,712.5,24975.68639,35.05359493,10.69166667
Bieb_2017_3_16,Bieb,Bieb,2017,3,16,75,3615.2,96566.86309,26.71134739,10.10833333
Bieb_2017_6_12,Bieb,Bieb,2017,6,12,163,1407.314412,57520.09886,40.87224458,10.28333333
Bieb_2018_3_7,Bieb,Bieb,2018,3,7,66,2720,87636.16278,32.21917749,9.916666667
Bieb_2018_6_15,Bieb,Bieb,2018,6,15,166,1234.400037,38963.37511,31.56462568,10.49166667
Bieb_2019_4_2,Bieb,Bieb,2019,4,2,92,925.6,22176.53672,23.95909326,11.53333333
Bieb_2019_7_5,Bieb,Bieb,2019,7,5,186,3627.2,172149.5588,47.4607297,11.075
O3_2002_7_2,KiO3,O3,2002,7,2,183,3820,225330.9875,58.98716952,10.58333333
O3_2005_3_22,KiO4,O3,2005,3,22,81,186.4,8485.282306,45.52190078,10.10833333
O3_2006_6_21,KiO5,O3,2006,6,21,172,2470.4,120509.1597,48.78123369,9.933333333
O3_2007_4_12,KiO6,O3,2007,4,12,102,680.96,33841.08563,49.69614313,12.53333333
O3_2007_7_20,KiO7,O3,2007,7,20,201,756.984663,44512.99324,58.80303183,12.25
O3_2008_4_28,KiO8,O3,2008,4,28,119,666.065169,32280.38176,48.46429939,10.35833333
O3_2008_6_11,KiO9,O3,2008,6,11,163,3688.38143,187251.3791,50.76789987,10.43333333
O3_2009_4_9,KiO10,O3,2009,4,9,99,369.523792,19574.9534,52.97345888,10.41666667
O3_2009_6_23,KiO11,O3,2009,6,23,174,1767.2,107876.6809,61.04384388,10.08333333
O3_2010_4_26,KiO12,O3,2010,4,26,116,370.8,13812.5532,37.25068286,10.26666667
O3_2010_6_28,KiO13,O3,2010,6,28,179,579,32672.32718,56.42888978,10.125
O3_2011_4_20,KiO14,O3,2011,4,20,110,216,9917.465014,45.91418988,10.075
O3_2011_7_21,KiO15,O3,2011,7,21,202,713.6,41472.9733,58.11795586,10.01666667
O3_2012_3_21,KiO16,O3,2012,3,21,81,224.571436,7878.927306,35.08428074,10.925
O3_2012_7_12,KiO17,O3,2012,7,12,194,1039.542812,62689.37793,60.30475821,10.625
O3_2013_4_25,KiO18,O3,2013,4,25,115,192,9498.312175,49.47037591,9.975
O3_2013_7_1,KiO19,O3,2013,7,1,182,461.6,19003.10928,41.16791439,9.941666667
O3_2014_3_10,KiO20,O3,2014,3,10,69,1085.714295,58350.63851,53.7440087,11.225
O3_2014_6_12,KiO21,O3,2014,6,12,163,4114.4,270244.436,65.682587,11.625
O3_2015_3_17,KiO22,O3,2015,3,17,76,560.941098,33886.58258,60.41023326,11.05
O3_2015_7_1,KiO23,O3,2015,7,1,182,3353.6,198036.8811,59.05202799,10.98333333
O3_2016_4_25,KiO24,O3,2016,4,25,116,641.257113,32421.75302,50.5596778,11.35833333
O3_2016_7_6,KiO25,O3,2016,7,6,188,1302.948653,76098.43619,58.40478519,11.29166667
O3_2017_3_28,KiO26,O3,2017,3,28,87,539.771427,24499.46192,45.38858615,10.96666667
O3_2017_6_2,KiO27,O3,2017,6,2,153,6083.428855,371709.1496,61.10191447,11.16666667
O3_2018_3_9,KiO28,O3,2018,3,9,68,1314.742875,76337.82752,58.06293304,10.7
O3_2018_6_7,KiO29,O3,2018,6,7,158,4405.333704,284319.7471,64.53988873,11.24166667
O3_2019_4_1,KiO30,O3,2019,4,1,91,802.400024,38998.87115,48.60277915,12.25
O3_2019_6_18,KiO31,O3,2019,6,18,169,3156.8,196635.6585,62.28955223,11.95
W1_2005_3_22,KiW1,W1,2005,3,22,81,251.2,10043.10949,39.98053141,10.25
W1_2006_7_13,KiW2,W1,2006,7,13,194,510.817441,25272.09867,49.47383671,10.4
W1_2007_4_12,KiW3,W1,2007,4,12,102,676.8,35606.11905,52.60951397,12.66666667
W1_2007_7_22,KiW4,W1,2007,7,22,203,1285.6,83609.88631,65.03569253,12.35833333
W1_2008_4_28,KiW5,W1,2008,4,28,119,371.323119,19928.35543,53.66850166,10.46666667
W1_2008_6_11,KiW6,W1,2008,6,11,163,1154.895264,71610.408,62.00597598,10.55833333
W1_2009_5_7,KiW7,W1,2009,5,7,127,1051.2,54318.52728,51.67287602,10.4
W1_2009_6_13,KiW8,W1,2009,6,13,164,1937.6,110200.6488,56.87481875,10.21666667
W1_2010_4_26,KiW9,W1,2010,4,26,116,412.000028,25693.50859,62.36288068,10.425
W1_2010_6_25,KiW10,W1,2010,6,25,176,737.44,42037.07295,57.00405857,10.275
W1_2011_4_20,KiW11,W1,2011,4,20,110,356.16,21565.52908,60.55011534,10.20833333
W1_2011_7_4,KiW12,W1,2011,7,4,185,624.8,36791.49549,58.88523607,10.15833333
W1_2012_3_21,KiW13,W1,2012,3,21,81,245.6,14261.47758,58.06790547,11.09166667
W1_2012_6_28,KiW14,W1,2012,6,28,180,335.2,21425.01755,63.9171168,10.65833333
W1_2013_4_9,KiW15,W1,2013,4,9,99,313.6,15165.12216,48.35817016,10.11666667
W1_2013_6_27,KiW16,W1,2013,6,27,178,665.6,40476.00111,60.81129974,9.841666667
W1_2014_3_10,KiW17,W1,2014,3,10,69,345.6,19729.07733,57.08645061,11.3
W1_2014_6_10,KiW18,W1,2014,6,10,161,829.60007,42332.4121,51.02749341,11.70833333
W1_2015_3_17,KiW19,W1,2015,3,17,76,440.8,22807.90069,51.74206147,11.16666667
W1_2015_7_2,KiW20,W1,2015,7,2,183,1446.399964,89269.66806,61.71852204,11.14166667
W1_2016_4_25,KiW21,W1,2016,4,25,116,356,19268.26213,54.12433182,11.50833333
W1_2016_7_12,KiW22,W1,2016,7,12,194,1225.6,82489.142,67.30510934,11.40833333
W1_2017_3_28,KiW23,W1,2017,3,28,87,1012.8,48419.3061,47.80737174,11.04166667
W1_2017_6_7,KiW24,W1,2017,6,7,158,4954.4,353923.8355,71.43626584,11.25
W1_2018_3_9,KiW25,W1,2018,3,9,68,3567.2,367988.9516,103.1590467,10.825
W1_2018_6_5,KiW26,W1,2018,6,5,156,2341.6,161312.9328,68.89004646,11.35833333
W1_2019_4_1,KiW27,W1,2019,4,1,91,649.694095,49801.69424,76.65406632,12.38333333
W1_2019_6_28,KiW28,W1,2019,6,28,179,1627.2,115348.9038,70.88796939,12.11666667
